,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Datetime,consumption
0,0,0,0,0,2016-05-28T08:00:00,679817.5625
1,1,1,1,1,2016-05-28T09:00:00,647177.625
2,2,2,2,2,2016-05-28T10:00:00,607962.8125
3,3,3,3,3,2016-05-28T11:00:00,584829.125
4,4,4,4,4,2016-05-28T12:00:00,569604.625
5,5,5,5,5,2016-05-28T13:00:00,574452.375
6,6,6,6,6,2016-05-28T14:00:00,580701.0625
7,7,7,7,7,2016-05-28T15:00:00,595197.0
8,8,8,8,8,2016-05-28T16:00:00,599770.625
9,9,9,9,9,2016-05-28T17:00:00,633160.25
10,10,10,10,10,2016-05-28T18:00:00,648684.0
11,11,11,11,11,2016-05-28T19:00:00,683367.9375
12,12,12,12,12,2016-05-28T20:00:00,688022.4375
13,13,13,13,13,2016-05-28T21:00:00,669644.5
14,14,14,14,14,2016-05-28T22:00:00,654972.6875
15,15,15,15,15,2016-05-28T23:00:00,648449.8125
16,16,16,16,16,2016-05-29T00:00:00,648664.75
17,17,17,17,17,2016-05-29T01:00:00,648569.6875
18,18,18,18,18,2016-05-29T02:00:00,648054.5
19,19,19,19,19,2016-05-29T03:00:00,671042.4375
20,20,20,20,20,2016-05-29T04:00:00,689396.375
21,21,21,21,21,2016-05-29T05:00:00,706946.625
22,22,22,22,22,2016-05-29T06:00:00,708083.6875
23,23,23,23,23,2016-05-29T07:00:00,693292.1875
24,24,24,24,24,2016-05-29T08:00:00,665307.25
25,25,25,25,25,2016-05-29T09:00:00,629561.1875
26,26,26,26,26,2016-05-29T10:00:00,588817.875
27,27,27,27,27,2016-05-29T11:00:00,559242.5
28,28,28,28,28,2016-05-29T12:00:00,555900.8125
29,29,29,29,29,2016-05-29T13:00:00,562992.375
30,30,30,30,30,2016-05-29T14:00:00,567637.3125
31,31,31,31,31,2016-05-29T15:00:00,574724.5
32,32,32,32,32,2016-05-29T16:00:00,590901.75
33,33,33,33,33,2016-05-29T17:00:00,626536.0625
34,34,34,34,34,2016-05-29T18:00:00,645492.9375
35,35,35,35,35,2016-05-29T19:00:00,659348.6875
36,36,36,36,36,2016-05-29T20:00:00,664507.5
