,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Datetime,consumption
0,0,0,0,0,2016-05-28T08:00:00,104361.78125
1,1,1,1,1,2016-05-28T09:00:00,103417.875
2,2,2,2,2,2016-05-28T10:00:00,98461.9453125
3,3,3,3,3,2016-05-28T11:00:00,98763.0546875
4,4,4,4,4,2016-05-28T12:00:00,94441.25
5,5,5,5,5,2016-05-28T13:00:00,92646.953125
6,6,6,6,6,2016-05-28T14:00:00,94864.203125
7,7,7,7,7,2016-05-28T15:00:00,95781.703125
8,8,8,8,8,2016-05-28T16:00:00,102648.703125
9,9,9,9,9,2016-05-28T17:00:00,107800.8046875
10,10,10,10,10,2016-05-28T18:00:00,110935.296875
11,11,11,11,11,2016-05-28T19:00:00,116611.828125
12,12,12,12,12,2016-05-28T20:00:00,117923.125
13,13,13,13,13,2016-05-28T21:00:00,118827.78125
14,14,14,14,14,2016-05-28T22:00:00,117861.3359375
15,15,15,15,15,2016-05-28T23:00:00,117361.5859375
16,16,16,16,16,2016-05-29T00:00:00,117896.765625
17,17,17,17,17,2016-05-29T01:00:00,114133.8203125
18,18,18,18,18,2016-05-29T02:00:00,111982.953125
19,19,19,19,19,2016-05-29T03:00:00,109723.6171875
20,20,20,20,20,2016-05-29T04:00:00,109238.6796875
21,21,21,21,21,2016-05-29T05:00:00,108800.0390625
22,22,22,22,22,2016-05-29T06:00:00,108692.234375
23,23,23,23,23,2016-05-29T07:00:00,108442.9453125
24,24,24,24,24,2016-05-29T08:00:00,107191.3203125
25,25,25,25,25,2016-05-29T09:00:00,101784.8125
26,26,26,26,26,2016-05-29T10:00:00,103201.5859375
27,27,27,27,27,2016-05-29T11:00:00,96830.4609375
28,28,28,28,28,2016-05-29T12:00:00,94080.5703125
29,29,29,29,29,2016-05-29T13:00:00,91795.015625
30,30,30,30,30,2016-05-29T14:00:00,94029.84375
31,31,31,31,31,2016-05-29T15:00:00,97188.953125
32,32,32,32,32,2016-05-29T16:00:00,102090.9609375
33,33,33,33,33,2016-05-29T17:00:00,110369.484375
34,34,34,34,34,2016-05-29T18:00:00,110225.828125
35,35,35,35,35,2016-05-29T19:00:00,114701.7109375
36,36,36,36,36,2016-05-29T20:00:00,118781.71875
37,37,37,37,37,2016-05-29T21:00:00,116119.765625
38,38,38,38,38,2016-05-29T22:00:00,118110.359375
39,39,39,39,39,2016-05-29T23:00:00,116491.828125
40,40,40,40,40,2016-05-30T00:00:00,111987.265625
41,41,41,41,41,2016-05-30T01:00:00,112912.6640625
42,42,42,42,42,2016-05-30T02:00:00,110961.3125
43,43,43,43,43,2016-05-30T03:00:00,109246.703125
44,44,44,44,44,2016-05-30T04:00:00,108168.8984375
45,45,45,45,45,2016-05-30T05:00:00,108496.9609375
46,46,46,46,46,2016-05-30T06:00:00,111818.7265625
47,47,47,47,47,2016-05-30T07:00:00,114336.046875
48,48,48,48,48,2016-05-30T08:00:00,107099.2890625
49,49,49,49,49,2016-05-30T09:00:00,103871.1640625
50,50,50,50,50,2016-05-30T10:00:00,97249.015625
51,51,51,51,51,2016-05-30T11:00:00,98660.640625
52,52,52,52,52,2016-05-30T12:00:00,101408.7265625
53,53,53,53,53,2016-05-30T13:00:00,98541.5625
54,54,54,54,54,2016-05-30T14:00:00,94390.546875
55,55,55,55,55,2016-05-30T15:00:00,96670.1953125
56,56,56,56,56,2016-05-30T16:00:00,104198.4765625
57,57,57,57,57,2016-05-30T17:00:00,109582.0703125
58,58,58,58,58,2016-05-30T18:00:00,113148.6171875
59,59,59,59,59,2016-05-30T19:00:00,116044.3046875
60,60,60,60,60,2016-05-30T20:00:00,112605.4296875
61,61,61,61,61,2016-05-30T21:00:00,112672.4140625
62,62,62,62,62,2016-05-30T22:00:00,112522.6796875
63,63,63,63,63,2016-05-30T23:00:00,112439.4921875
64,64,64,64,64,2016-05-31T00:00:00,114434.15625
65,65,65,65,65,2016-05-31T01:00:00,115015.4921875
66,66,66,66,66,2016-05-31T02:00:00,109065.0390625
67,67,67,67,67,2016-05-31T03:00:00,114126.0
68,68,68,68,68,2016-05-31T04:00:00,111617.8046875
69,69,69,69,69,2016-05-31T05:00:00,112295.15625
70,70,70,70,70,2016-05-31T06:00:00,113818.109375
71,71,71,71,71,2016-05-31T07:00:00,110436.0546875
72,72,72,72,72,2016-05-31T08:00:00,111390.9296875
73,73,73,73,73,2016-05-31T09:00:00,103341.0546875
74,74,74,74,74,2016-05-31T10:00:00,103349.5078125
75,75,75,75,75,2016-05-31T11:00:00,96360.2578125
76,76,76,76,76,2016-05-31T12:00:00,95298.4453125
77,77,77,77,77,2016-05-31T13:00:00,98533.109375
78,78,78,78,78,2016-05-31T14:00:00,94896.7421875
79,79,79,79,79,2016-05-31T15:00:00,95130.4921875
80,80,80,80,80,2016-05-31T16:00:00,98432.515625
81,81,81,81,81,2016-05-31T17:00:00,104758.609375
82,82,82,82,82,2016-05-31T18:00:00,108351.953125
83,83,83,83,83,2016-05-31T19:00:00,112778.4140625
84,84,84,84,84,2016-05-31T20:00:00,112377.15625
85,85,85,85,85,2016-05-31T21:00:00,111232.203125
86,86,86,86,86,2016-05-31T22:00:00,113383.796875
87,87,87,87,87,2016-05-31T23:00:00,111994.9609375
88,88,88,88,88,2016-06-01T00:00:00,113849.28125
89,89,89,89,89,2016-06-01T01:00:00,114467.4140625
90,90,90,90,90,2016-06-01T02:00:00,108877.8671875
91,91,91,91,91,2016-06-01T03:00:00,111692.5625
92,92,92,92,92,2016-06-01T04:00:00,106714.875
93,93,93,93,93,2016-06-01T05:00:00,109653.9609375
94,94,94,94,94,2016-06-01T06:00:00,106629.90625
95,95,95,95,95,2016-06-01T07:00:00,105970.1484375
96,96,96,96,96,2016-06-01T08:00:00,106240.6796875
97,97,97,97,97,2016-06-01T09:00:00,100528.9296875
98,98,98,98,98,2016-06-01T10:00:00,95727.59375
99,99,99,99,99,2016-06-01T11:00:00,95203.2109375
100,100,100,100,100,2016-06-01T12:00:00,92948.1015625
101,101,101,101,101,2016-06-01T13:00:00,94710.2578125
102,102,102,102,102,2016-06-01T14:00:00,90672.265625
103,103,103,103,103,2016-06-01T15:00:00,94835.8828125
104,104,104,104,104,2016-06-01T16:00:00,95278.703125
105,105,105,105,105,2016-06-01T17:00:00,102261.625
106,106,106,106,106,2016-06-01T18:00:00,108134.15625
107,107,107,107,107,2016-06-01T19:00:00,110708.046875
108,108,108,108,108,2016-06-01T20:00:00,118003.296875
109,109,109,109,109,2016-06-01T21:00:00,121632.1796875
110,110,110,110,110,2016-06-01T22:00:00,117954.0703125
111,111,111,111,111,2016-06-01T23:00:00,114727.625
112,112,112,112,112,2016-06-02T00:00:00,118080.9453125
113,113,113,113,113,2016-06-02T01:00:00,114224.2109375
114,114,114,114,114,2016-06-02T02:00:00,108181.5625
115,115,115,115,115,2016-06-02T03:00:00,107731.0859375
116,116,116,116,116,2016-06-02T04:00:00,107719.515625
117,117,117,117,117,2016-06-02T05:00:00,107879.7578125
118,118,118,118,118,2016-06-02T06:00:00,111583.359375
119,119,119,119,119,2016-06-02T07:00:00,110639.4609375
120,120,120,120,120,2016-06-02T08:00:00,108654.6640625
121,121,121,121,121,2016-06-02T09:00:00,104728.1171875
122,122,122,122,122,2016-06-02T10:00:00,97385.1328125
123,123,123,123,123,2016-06-02T11:00:00,96144.6953125
124,124,124,124,124,2016-06-02T12:00:00,94304.125
125,125,125,125,125,2016-06-02T13:00:00,92126.578125
126,126,126,126,126,2016-06-02T14:00:00,93944.359375
127,127,127,127,127,2016-06-02T15:00:00,98615.71875
128,128,128,128,128,2016-06-02T16:00:00,99590.5078125
129,129,129,129,129,2016-06-02T17:00:00,99900.7421875
130,130,130,130,130,2016-06-02T18:00:00,107390.890625
131,131,131,131,131,2016-06-02T19:00:00,113916.515625
132,132,132,132,132,2016-06-02T20:00:00,113744.640625
133,133,133,133,133,2016-06-02T21:00:00,115535.390625
134,134,134,134,134,2016-06-02T22:00:00,113503.140625
135,135,135,135,135,2016-06-02T23:00:00,113925.515625
136,136,136,136,136,2016-06-03T00:00:00,113582.5078125
137,137,137,137,137,2016-06-03T01:00:00,112871.3203125
138,138,138,138,138,2016-06-03T02:00:00,110065.5234375
139,139,139,139,139,2016-06-03T03:00:00,107182.734375
140,140,140,140,140,2016-06-03T04:00:00,105301.09375
141,141,141,141,141,2016-06-03T05:00:00,105172.875
142,142,142,142,142,2016-06-03T06:00:00,108865.28125
143,143,143,143,143,2016-06-03T07:00:00,107086.671875
144,144,144,144,144,2016-06-03T08:00:00,101642.46875
145,145,145,145,145,2016-06-03T09:00:00,100895.171875
146,146,146,146,146,2016-06-03T10:00:00,99151.3125
147,147,147,147,147,2016-06-03T11:00:00,97500.546875
148,148,148,148,148,2016-06-03T12:00:00,97594.4453125
149,149,149,149,149,2016-06-03T13:00:00,96620.8046875
150,150,150,150,150,2016-06-03T14:00:00,94179.0546875
151,151,151,151,151,2016-06-03T15:00:00,93542.6640625
152,152,152,152,152,2016-06-03T16:00:00,102267.921875
153,153,153,153,153,2016-06-03T17:00:00,103995.90625
154,154,154,154,154,2016-06-03T18:00:00,107885.6796875
155,155,155,155,155,2016-06-03T19:00:00,115782.921875
156,156,156,156,156,2016-06-03T20:00:00,117326.40625
157,157,157,157,157,2016-06-03T21:00:00,109999.2890625
158,158,158,158,158,2016-06-03T22:00:00,112395.859375
159,159,159,159,159,2016-06-03T23:00:00,109882.4140625
160,160,160,160,160,2016-06-04T00:00:00,112582.125
161,161,161,161,161,2016-06-04T01:00:00,112908.84375
162,162,162,162,162,2016-06-04T02:00:00,107201.875
163,163,163,163,163,2016-06-04T03:00:00,105391.6640625
164,164,164,164,164,2016-06-04T04:00:00,104705.6484375
165,165,165,165,165,2016-06-04T05:00:00,105530.875
166,166,166,166,166,2016-06-04T06:00:00,108996.390625
167,167,167,167,167,2016-06-04T07:00:00,111752.9609375
168,168,168,168,168,2016-06-04T08:00:00,112267.859375
169,169,169,169,169,2016-06-04T09:00:00,106479.09375
170,170,170,170,170,2016-06-04T10:00:00,100098.9296875
171,171,171,171,171,2016-06-04T11:00:00,95157.0859375
172,172,172,172,172,2016-06-04T12:00:00,98104.046875
173,173,173,173,173,2016-06-04T13:00:00,93514.890625
174,174,174,174,174,2016-06-04T14:00:00,94851.203125
175,175,175,175,175,2016-06-04T15:00:00,99712.9765625
176,176,176,176,176,2016-06-04T16:00:00,100720.9765625
177,177,177,177,177,2016-06-04T17:00:00,105368.9375
178,178,178,178,178,2016-06-04T18:00:00,111164.3828125
179,179,179,179,179,2016-06-04T19:00:00,109252.2578125
180,180,180,180,180,2016-06-04T20:00:00,113823.90625
181,181,181,181,181,2016-06-04T21:00:00,112830.75
182,182,182,182,182,2016-06-04T22:00:00,112523.4296875
183,183,183,183,183,2016-06-04T23:00:00,112374.046875
184,184,184,184,184,2016-06-05T00:00:00,113453.3828125
185,185,185,185,185,2016-06-05T01:00:00,112983.5625
186,186,186,186,186,2016-06-05T02:00:00,104636.4609375
187,187,187,187,187,2016-06-05T03:00:00,107891.25
188,188,188,188,188,2016-06-05T04:00:00,107690.640625
189,189,189,189,189,2016-06-05T05:00:00,107563.1796875
190,190,190,190,190,2016-06-05T06:00:00,108289.6171875
191,191,191,191,191,2016-06-05T07:00:00,109407.796875
192,192,192,192,192,2016-06-05T08:00:00,104243.859375
193,193,193,193,193,2016-06-05T09:00:00,102386.140625
194,194,194,194,194,2016-06-05T10:00:00,96841.109375
195,195,195,195,195,2016-06-05T11:00:00,97790.90625
196,196,196,196,196,2016-06-05T12:00:00,95969.1953125
197,197,197,197,197,2016-06-05T13:00:00,93756.390625
198,198,198,198,198,2016-06-05T14:00:00,93616.1328125
199,199,199,199,199,2016-06-05T15:00:00,94308.96875
200,200,200,200,200,2016-06-05T16:00:00,96249.25
201,201,201,201,201,2016-06-05T17:00:00,99047.3515625
202,202,202,202,202,2016-06-05T18:00:00,105529.625
203,203,203,203,203,2016-06-05T19:00:00,113121.6484375
204,204,204,204,204,2016-06-05T20:00:00,109607.46875
205,205,205,205,205,2016-06-05T21:00:00,113227.125
206,206,206,206,206,2016-06-05T22:00:00,109164.1796875
207,207,207,207,207,2016-06-05T23:00:00,111213.484375
208,208,208,208,208,2016-06-06T00:00:00,112678.71875
209,209,209,209,209,2016-06-06T01:00:00,110691.875
210,210,210,210,210,2016-06-06T02:00:00,108680.3515625
211,211,211,211,211,2016-06-06T03:00:00,106614.546875
212,212,212,212,212,2016-06-06T04:00:00,105549.6171875
213,213,213,213,213,2016-06-06T05:00:00,103490.7265625
214,214,214,214,214,2016-06-06T06:00:00,102339.96875
215,215,215,215,215,2016-06-06T07:00:00,104549.6796875
216,216,216,216,216,2016-06-06T08:00:00,103155.609375
217,217,217,217,217,2016-06-06T09:00:00,96517.21875
218,218,218,218,218,2016-06-06T10:00:00,95588.7734375
219,219,219,219,219,2016-06-06T11:00:00,94864.7578125
220,220,220,220,220,2016-06-06T12:00:00,92511.265625
221,221,221,221,221,2016-06-06T13:00:00,88433.9296875
222,222,222,222,222,2016-06-06T14:00:00,91431.5703125
223,223,223,223,223,2016-06-06T15:00:00,91627.1328125
224,224,224,224,224,2016-06-06T16:00:00,94314.53125
225,225,225,225,225,2016-06-06T17:00:00,103722.8125
226,226,226,226,226,2016-06-06T18:00:00,103731.0546875
227,227,227,227,227,2016-06-06T19:00:00,111814.859375
228,228,228,228,228,2016-06-06T20:00:00,110310.8203125
229,229,229,229,229,2016-06-06T21:00:00,113953.3515625
230,230,230,230,230,2016-06-06T22:00:00,111445.71875
231,231,231,231,231,2016-06-06T23:00:00,111343.34375
232,232,232,232,232,2016-06-07T00:00:00,107051.5546875
233,233,233,233,233,2016-06-07T01:00:00,106445.8359375
234,234,234,234,234,2016-06-07T02:00:00,108832.765625
235,235,235,235,235,2016-06-07T03:00:00,110620.0546875
236,236,236,236,236,2016-06-07T04:00:00,110217.390625
237,237,237,237,237,2016-06-07T05:00:00,107400.4140625
238,238,238,238,238,2016-06-07T06:00:00,109115.921875
239,239,239,239,239,2016-06-07T07:00:00,106562.4140625
240,240,240,240,240,2016-06-07T08:00:00,107668.84375
241,241,241,241,241,2016-06-07T09:00:00,103179.203125
242,242,242,242,242,2016-06-07T10:00:00,95213.4296875
243,243,243,243,243,2016-06-07T11:00:00,93188.5
244,244,244,244,244,2016-06-07T12:00:00,89803.453125
245,245,245,245,245,2016-06-07T13:00:00,90522.2421875
246,246,246,246,246,2016-06-07T14:00:00,94005.953125
247,247,247,247,247,2016-06-07T15:00:00,92999.625
248,248,248,248,248,2016-06-07T16:00:00,97429.859375
249,249,249,249,249,2016-06-07T17:00:00,101956.5625
250,250,250,250,250,2016-06-07T18:00:00,106108.8125
251,251,251,251,251,2016-06-07T19:00:00,112039.140625
252,252,252,252,252,2016-06-07T20:00:00,115288.359375
253,253,253,253,253,2016-06-07T21:00:00,117176.578125
254,254,254,254,254,2016-06-07T22:00:00,111395.90625
255,255,255,255,255,2016-06-07T23:00:00,110495.2109375
256,256,256,256,256,2016-06-08T00:00:00,108584.2109375
257,257,257,257,257,2016-06-08T01:00:00,107195.84375
258,258,258,258,258,2016-06-08T02:00:00,105935.7109375
259,259,259,259,259,2016-06-08T03:00:00,107407.6875
260,260,260,260,260,2016-06-08T04:00:00,106938.890625
261,261,261,261,261,2016-06-08T05:00:00,107964.1796875
262,262,262,262,262,2016-06-08T06:00:00,108178.3984375
263,263,263,263,263,2016-06-08T07:00:00,106016.578125
264,264,264,264,264,2016-06-08T08:00:00,107053.984375
265,265,265,265,265,2016-06-08T09:00:00,100483.4609375
266,266,266,266,266,2016-06-08T10:00:00,97732.921875
267,267,267,267,267,2016-06-08T11:00:00,100933.3125
268,268,268,268,268,2016-06-08T12:00:00,89272.3515625
269,269,269,269,269,2016-06-08T13:00:00,89778.3828125
270,270,270,270,270,2016-06-08T14:00:00,90571.640625
271,271,271,271,271,2016-06-08T15:00:00,97583.171875
272,272,272,272,272,2016-06-08T16:00:00,101679.5703125
273,273,273,273,273,2016-06-08T17:00:00,101826.921875
274,274,274,274,274,2016-06-08T18:00:00,106537.8515625
275,275,275,275,275,2016-06-08T19:00:00,109500.53125
276,276,276,276,276,2016-06-08T20:00:00,111788.21875
277,277,277,277,277,2016-06-08T21:00:00,108922.84375
278,278,278,278,278,2016-06-08T22:00:00,111776.0703125
279,279,279,279,279,2016-06-08T23:00:00,111663.5625
280,280,280,280,280,2016-06-09T00:00:00,110046.9921875
281,281,281,281,281,2016-06-09T01:00:00,111957.8671875
282,282,282,282,282,2016-06-09T02:00:00,111925.4609375
283,283,283,283,283,2016-06-09T03:00:00,105977.8203125
284,284,284,284,284,2016-06-09T04:00:00,111422.515625
285,285,285,285,285,2016-06-09T05:00:00,110091.515625
286,286,286,286,286,2016-06-09T06:00:00,112358.625
287,287,287,287,287,2016-06-09T07:00:00,105023.9375
288,288,288,288,288,2016-06-09T08:00:00,102570.875
289,289,289,289,289,2016-06-09T09:00:00,100411.0625
