consumption,Datetime
255845.4702968359,2016-06-01T02:00:00
239567.04077034295,2016-06-01T03:00:00
219572.2594285816,2016-06-01T04:00:00
200620.6269158855,2016-06-01T05:00:00
216688.87076909692,2016-06-01T06:00:00
255212.70827583075,2016-06-01T07:00:00
308084.8295169979,2016-06-01T08:00:00
359954.85386247037,2016-06-01T09:00:00
398117.20934391615,2016-06-01T10:00:00
409527.8478557825,2016-06-01T11:00:00
401255.2587192714,2016-06-01T12:00:00
387641.9311964571,2016-06-01T13:00:00
395986.5578900635,2016-06-01T14:00:00
397290.44105712173,2016-06-01T15:00:00
383390.7566316783,2016-06-01T16:00:00
368835.33531380293,2016-06-01T17:00:00
361429.4187817633,2016-06-01T18:00:00
358824.9345721364,2016-06-01T19:00:00
353765.61298356054,2016-06-01T20:00:00
352325.8430953681,2016-06-01T21:00:00
351271.4013895154,2016-06-01T22:00:00
339826.44155523775,2016-06-01T23:00:00
312908.6220174193,2016-06-02T00:00:00
283630.50382048485,2016-06-02T01:00:00
254336.3049053684,2016-06-02T02:00:00
246179.2386557445,2016-06-02T03:00:00
234728.59854673818,2016-06-02T04:00:00
224218.58881130666,2016-06-02T05:00:00
232111.81341951192,2016-06-02T06:00:00
272572.9813000917,2016-06-02T07:00:00
327631.3978479266,2016-06-02T08:00:00
381580.7946816444,2016-06-02T09:00:00
417789.34995321033,2016-06-02T10:00:00
429171.283974266,2016-06-02T11:00:00
419599.842005825,2016-06-02T12:00:00
404584.9683745265,2016-06-02T13:00:00
411706.88526860473,2016-06-02T14:00:00
413667.5655332565,2016-06-02T15:00:00
399216.43907845614,2016-06-02T16:00:00
383791.8074309885,2016-06-02T17:00:00
375510.3644535005,2016-06-02T18:00:00
372600.5637148976,2016-06-02T19:00:00
366828.3895005047,2016-06-02T20:00:00
364965.19171682594,2016-06-02T21:00:00
364234.92465729115,2016-06-02T22:00:00
353463.0259189367,2016-06-02T23:00:00
326913.52616575954,2016-06-03T00:00:00
297636.05649857817,2016-06-03T01:00:00
272164.09738924203,2016-06-03T02:00:00
264500.75966033933,2016-06-03T03:00:00
254198.30905268938,2016-06-03T04:00:00
245562.39945002497,2016-06-03T05:00:00
249900.93097254485,2016-06-03T06:00:00
281946.08595187066,2016-06-03T07:00:00
328041.4039972186,2016-06-03T08:00:00
376004.4764526844,2016-06-03T09:00:00
411111.9297125101,2016-06-03T10:00:00
422038.4943378925,2016-06-03T11:00:00
414083.7524530649,2016-06-03T12:00:00
401005.00518602727,2016-06-03T13:00:00
405874.29063878057,2016-06-03T14:00:00
408226.6828742981,2016-06-03T15:00:00
394768.494947201,2016-06-03T16:00:00
380406.35805330274,2016-06-03T17:00:00
370718.37246853707,2016-06-03T18:00:00
369061.74550969,2016-06-03T19:00:00
364509.4726790249,2016-06-03T20:00:00
363267.70174414513,2016-06-03T21:00:00
363604.4071131706,2016-06-03T22:00:00
353823.75508577225,2016-06-03T23:00:00
328317.82429615257,2016-06-04T00:00:00
299804.11402071116,2016-06-04T01:00:00
276541.26154718397,2016-06-04T02:00:00
268993.28880227206,2016-06-04T03:00:00
258976.3012540698,2016-06-04T04:00:00
250653.7471296251,2016-06-04T05:00:00
250790.52487424613,2016-06-04T06:00:00
272047.9203332126,2016-06-04T07:00:00
303981.8580992728,2016-06-04T08:00:00
338913.8643230259,2016-06-04T09:00:00
373816.72054422495,2016-06-04T10:00:00
384495.42273736594,2016-06-04T11:00:00
381159.408245033,2016-06-04T12:00:00
373086.4647634685,2016-06-04T13:00:00
375777.10756064055,2016-06-04T14:00:00
377784.89928231237,2016-06-04T15:00:00
366849.8079005241,2016-06-04T16:00:00
355666.94431672094,2016-06-04T17:00:00
347007.15472066996,2016-06-04T18:00:00
348255.4560681939,2016-06-04T19:00:00
346628.2554419696,2016-06-04T20:00:00
346696.93192312715,2016-06-04T21:00:00
349474.48898599145,2016-06-04T22:00:00
340187.4188551962,2016-06-04T23:00:00
316141.0183733761,2016-06-05T00:00:00
289241.4704564273,2016-06-05T01:00:00
268777.72315173445,2016-06-05T02:00:00
