consumption,Datetime
614425.5291611194,2016-05-31T02:00:00
587649.2689767121,2016-05-31T03:00:00
560965.6867913245,2016-05-31T04:00:00
548632.1158906459,2016-05-31T05:00:00
547482.626977229,2016-05-31T06:00:00
548748.0397190093,2016-05-31T07:00:00
578408.3370900392,2016-05-31T08:00:00
605197.6079998254,2016-05-31T09:00:00
637815.8295995235,2016-05-31T10:00:00
663362.1633619308,2016-05-31T11:00:00
672120.220391178,2016-05-31T12:00:00
670611.323199892,2016-05-31T13:00:00
657879.7837008475,2016-05-31T14:00:00
649508.2735878467,2016-05-31T15:00:00
649910.2807153701,2016-05-31T16:00:00
652653.0387720107,2016-05-31T17:00:00
652828.3331424235,2016-05-31T18:00:00
657757.2122591971,2016-05-31T19:00:00
656610.6724435329,2016-05-31T20:00:00
671008.361965084,2016-05-31T21:00:00
686693.4402109622,2016-05-31T22:00:00
687908.7876814841,2016-05-31T23:00:00
668135.60767951,2016-06-01T00:00:00
640608.7431351184,2016-06-01T01:00:00
586296.6739663123,2016-06-01T02:00:00
565747.1838805317,2016-06-01T03:00:00
549344.3542236327,2016-06-01T04:00:00
545940.0059857606,2016-06-01T05:00:00
551630.581539595,2016-06-01T06:00:00
556458.9623440146,2016-06-01T07:00:00
586214.8486470222,2016-06-01T08:00:00
613172.9397902726,2016-06-01T09:00:00
645180.5385569572,2016-06-01T10:00:00
669715.1999482154,2016-06-01T11:00:00
676151.1027118205,2016-06-01T12:00:00
672457.8747362136,2016-06-01T13:00:00
660344.8547131061,2016-06-01T14:00:00
651917.2076570033,2016-06-01T15:00:00
652278.3437592029,2016-06-01T16:00:00
654970.9879712104,2016-06-01T17:00:00
654963.8823803901,2016-06-01T18:00:00
659835.9722830295,2016-06-01T19:00:00
660796.1846331595,2016-06-01T20:00:00
674579.1295238971,2016-06-01T21:00:00
689693.2069324492,2016-06-01T22:00:00
690308.562199974,2016-06-01T23:00:00
669905.7741145133,2016-06-02T00:00:00
642039.7286333083,2016-06-02T01:00:00
588076.5758934258,2016-06-02T02:00:00
567997.9838586687,2016-06-02T03:00:00
551965.272908771,2016-06-02T04:00:00
548307.8261627196,2016-06-02T05:00:00
553176.8455341696,2016-06-02T06:00:00
557669.5149285435,2016-06-02T07:00:00
586767.0654664277,2016-06-02T08:00:00
613371.6742835282,2016-06-02T09:00:00
644934.4797185897,2016-06-02T10:00:00
669258.9710563659,2016-06-02T11:00:00
675750.9413725375,2016-06-02T12:00:00
672430.4238404273,2016-06-02T13:00:00
658670.4472168921,2016-06-02T14:00:00
650649.539722824,2016-06-02T15:00:00
650726.7713886737,2016-06-02T16:00:00
652730.5341218947,2016-06-02T17:00:00
651945.0193835734,2016-06-02T18:00:00
656194.6484278678,2016-06-02T19:00:00
656757.9607938766,2016-06-02T20:00:00
669867.7064668178,2016-06-02T21:00:00
683947.6150926589,2016-06-02T22:00:00
684379.4740284919,2016-06-02T23:00:00
664631.8574997424,2016-06-03T00:00:00
638100.1365009784,2016-06-03T01:00:00
586382.9194627046,2016-06-03T02:00:00
566631.1568494677,2016-06-03T03:00:00
550010.8676633476,2016-06-03T04:00:00
545522.614976549,2016-06-03T05:00:00
549652.2469680547,2016-06-03T06:00:00
553642.14376899,2016-06-03T07:00:00
576671.1034031152,2016-06-03T08:00:00
602099.2997790813,2016-06-03T09:00:00
633466.2781843184,2016-06-03T10:00:00
658566.514073038,2016-06-03T11:00:00
668110.8907708167,2016-06-03T12:00:00
668098.3033277034,2016-06-03T13:00:00
651172.9108966826,2016-06-03T14:00:00
643960.1533335685,2016-06-03T15:00:00
643972.1440180778,2016-06-03T16:00:00
645413.6907557487,2016-06-03T17:00:00
644129.327458763,2016-06-03T18:00:00
647716.0132063865,2016-06-03T19:00:00
644818.3199624061,2016-06-03T20:00:00
657929.18976202,2016-06-03T21:00:00
671452.8083440303,2016-06-03T22:00:00
672111.5049399375,2016-06-03T23:00:00
653751.3660437106,2016-06-04T00:00:00
