consumption,Datetime
91609.62006679772,2016-05-31T02:00:00
91677.24447392821,2016-05-31T03:00:00
90696.68390225171,2016-05-31T04:00:00
90224.89743674397,2016-05-31T05:00:00
89810.7356188774,2016-05-31T06:00:00
92846.77622739672,2016-05-31T07:00:00
98574.2298303902,2016-05-31T08:00:00
109011.40477938652,2016-05-31T09:00:00
114343.11970102787,2016-05-31T10:00:00
115801.88429524898,2016-05-31T11:00:00
113370.62775363922,2016-05-31T12:00:00
113690.19328708648,2016-05-31T13:00:00
114492.9213794589,2016-05-31T14:00:00
114708.7070670247,2016-05-31T15:00:00
114498.50673458575,2016-05-31T16:00:00
113897.05947725772,2016-05-31T17:00:00
114340.39904093742,2016-05-31T18:00:00
115395.70041300058,2016-05-31T19:00:00
115768.42551076412,2016-05-31T20:00:00
115514.00644991397,2016-05-31T21:00:00
119259.91795499325,2016-05-31T22:00:00
117085.9771770358,2016-05-31T23:00:00
114102.48531796932,2016-06-01T00:00:00
108360.36682362556,2016-06-01T01:00:00
104409.03481246233,2016-06-01T02:00:00
102276.70679731964,2016-06-01T03:00:00
99896.25991655588,2016-06-01T04:00:00
97342.4189666748,2016-06-01T05:00:00
95706.87014747858,2016-06-01T06:00:00
96521.75318890213,2016-06-01T07:00:00
107078.84523235558,2016-06-01T08:00:00
112027.78461778164,2016-06-01T09:00:00
118201.12240183353,2016-06-01T10:00:00
118800.35045406818,2016-06-01T11:00:00
115767.73734380006,2016-06-01T12:00:00
115106.20617549418,2016-06-01T13:00:00
115057.76775662898,2016-06-01T14:00:00
115379.59517219066,2016-06-01T15:00:00
114971.6135204315,2016-06-01T16:00:00
114384.83115445374,2016-06-01T17:00:00
112154.88745565414,2016-06-01T18:00:00
113317.39883916377,2016-06-01T19:00:00
115306.88419761657,2016-06-01T20:00:00
116414.40623953342,2016-06-01T21:00:00
116319.3911868453,2016-06-01T22:00:00
117084.2434230566,2016-06-01T23:00:00
113303.68884615897,2016-06-02T00:00:00
108342.11172788142,2016-06-02T01:00:00
102416.66608777642,2016-06-02T02:00:00
99681.55982571244,2016-06-02T03:00:00
97150.97518497705,2016-06-02T04:00:00
94727.49653044938,2016-06-02T05:00:00
95135.76625210047,2016-06-02T06:00:00
98555.74801297188,2016-06-02T07:00:00
104307.30079627632,2016-06-02T08:00:00
116428.40430243015,2016-06-02T09:00:00
116269.47507612704,2016-06-02T10:00:00
116455.99499652385,2016-06-02T11:00:00
115832.40903453826,2016-06-02T12:00:00
115090.31965441704,2016-06-02T13:00:00
116799.85442419052,2016-06-02T14:00:00
115945.60983281134,2016-06-02T15:00:00
115252.42831878661,2016-06-02T16:00:00
114106.39026539325,2016-06-02T17:00:00
113398.2717940092,2016-06-02T18:00:00
109740.76573798656,2016-06-02T19:00:00
110773.20823066233,2016-06-02T20:00:00
112581.39093453884,2016-06-02T21:00:00
113964.32913165091,2016-06-02T22:00:00
114356.0828461647,2016-06-02T23:00:00
107334.41123814583,2016-06-03T00:00:00
104677.55062682032,2016-06-03T01:00:00
101014.41653864979,2016-06-03T02:00:00
97229.44755738974,2016-06-03T03:00:00
96161.19904407262,2016-06-03T04:00:00
92359.95678123235,2016-06-03T05:00:00
90762.84662141203,2016-06-03T06:00:00
94185.14361067413,2016-06-03T07:00:00
101563.6751338899,2016-06-03T08:00:00
110567.793059206,2016-06-03T09:00:00
113986.63854439258,2016-06-03T10:00:00
113916.17878267764,2016-06-03T11:00:00
114205.05953800678,2016-06-03T12:00:00
114106.23556119204,2016-06-03T13:00:00
113922.50565104483,2016-06-03T14:00:00
115371.55588835478,2016-06-03T15:00:00
113901.81263047457,2016-06-03T16:00:00
112411.4190290451,2016-06-03T17:00:00
111075.70295569896,2016-06-03T18:00:00
110764.99823874235,2016-06-03T19:00:00
112324.21920583247,2016-06-03T20:00:00
112937.42398245334,2016-06-03T21:00:00
113744.66516979932,2016-06-03T22:00:00
112622.7983141899,2016-06-03T23:00:00
111100.76503629684,2016-06-04T00:00:00
105012.66393249034,2016-06-04T01:00:00
102635.38315322399,2016-06-04T02:00:00
99301.77434828281,2016-06-04T03:00:00
96206.40734590887,2016-06-04T04:00:00
95606.61115583181,2016-06-04T05:00:00
90459.94646467565,2016-06-04T06:00:00
91550.99517647624,2016-06-04T07:00:00
98441.91239401101,2016-06-04T08:00:00
106204.43308122753,2016-06-04T09:00:00
113586.12537131309,2016-06-04T10:00:00
112791.78864820003,2016-06-04T11:00:00
113417.87121591567,2016-06-04T12:00:00
114570.31082246303,2016-06-04T13:00:00
114977.56163023709,2016-06-04T14:00:00
114764.05916329622,2016-06-04T15:00:00
113907.15259273052,2016-06-04T16:00:00
112870.98652997016,2016-06-04T17:00:00
111957.83698031901,2016-06-04T18:00:00
111214.09920026064,2016-06-04T19:00:00
111176.04730138778,2016-06-04T20:00:00
114510.8670668006,2016-06-04T21:00:00
114106.63565826416,2016-06-04T22:00:00
113333.87216928005,2016-06-04T23:00:00
109607.80547897815,2016-06-05T00:00:00
106397.28787193297,2016-06-05T01:00:00
99912.83460459708,2016-06-05T02:00:00
97829.83855844736,2016-06-05T03:00:00
94571.54402636288,2016-06-05T04:00:00
91842.51390516758,2016-06-05T05:00:00
91223.02226988673,2016-06-05T06:00:00
90945.73366039395,2016-06-05T07:00:00
92815.43262276649,2016-06-05T08:00:00
99320.97367311716,2016-06-05T09:00:00
105828.01375383139,2016-06-05T10:00:00
111449.58033303022,2016-06-05T11:00:00
111212.62150840758,2016-06-05T12:00:00
111657.36941378115,2016-06-05T13:00:00
112593.76727063656,2016-06-05T14:00:00
113149.4914345622,2016-06-05T15:00:00
113277.20241998433,2016-06-05T16:00:00
110481.27073370217,2016-06-05T17:00:00
110593.57531453371,2016-06-05T18:00:00
111172.86252869367,2016-06-05T19:00:00
111711.59056899547,2016-06-05T20:00:00
112084.16096255778,2016-06-05T21:00:00
116379.18702793121,2016-06-05T22:00:00
114105.35534763336,2016-06-05T23:00:00
110856.09767475128,2016-06-06T00:00:00
104984.42774845361,2016-06-06T01:00:00
101166.80017685294,2016-06-06T02:00:00
99732.49751762151,2016-06-06T03:00:00
97573.7604284048,2016-06-06T04:00:00
94698.65219886303,2016-06-06T05:00:00
92516.61345616578,2016-06-06T06:00:00
92634.5647403419,2016-06-06T07:00:00
105185.08976669311,2016-06-06T08:00:00
109700.36660295725,2016-06-06T09:00:00
115086.64409598112,2016-06-06T10:00:00
115723.17186459302,2016-06-06T11:00:00
113193.90754419565,2016-06-06T12:00:00
113217.26254395246,2016-06-06T13:00:00
113527.41245963573,2016-06-06T14:00:00
114315.89176161289,2016-06-06T15:00:00
114520.29335381984,2016-06-06T16:00:00
114307.04694900512,2016-06-06T17:00:00
111555.7554267168,2016-06-06T18:00:00
112422.66442408561,2016-06-06T19:00:00
114033.23118209839,2016-06-06T20:00:00
115121.62858396769,2016-06-06T21:00:00
115293.80369067192,2016-06-06T22:00:00
116679.72927925586,2016-06-06T23:00:00
112904.0452173829,2016-06-07T00:00:00
107947.02387109994,2016-06-07T01:00:00
102112.3469200909,2016-06-07T02:00:00
99478.7826276183,2016-06-07T03:00:00
96198.13600577116,2016-06-07T04:00:00
93524.05788377523,2016-06-07T05:00:00
93472.15995889305,2016-06-07T06:00:00
96441.79245538115,2016-06-07T07:00:00
102003.8859384656,2016-06-07T08:00:00
113966.31361312866,2016-06-07T09:00:00
114074.93196626901,2016-06-07T10:00:00
114516.10033650398,2016-06-07T11:00:00
114149.6220876932,2016-06-07T12:00:00
113590.09433426856,2016-06-07T13:00:00
115060.12032741308,2016-06-07T14:00:00
114542.15999246835,2016-06-07T15:00:00
114268.5309375286,2016-06-07T16:00:00
113571.42313756942,2016-06-07T17:00:00
113092.02149112224,2016-06-07T18:00:00
109786.07806506156,2016-06-07T19:00:00
111287.95711977482,2016-06-07T20:00:00
113626.72188756465,2016-06-07T21:00:00
114999.42293425798,2016-06-07T22:00:00
115021.20421886444,2016-06-07T23:00:00
108930.31843943596,2016-06-08T00:00:00
105452.30659922361,2016-06-08T01:00:00
100703.51710778475,2016-06-08T02:00:00
95929.95360563992,2016-06-08T03:00:00
94469.45525743961,2016-06-08T04:00:00
90670.55489612817,2016-06-08T05:00:00
88490.2632439792,2016-06-08T06:00:00
92172.17522140144,2016-06-08T07:00:00
100582.9411868155,2016-06-08T08:00:00
111063.51866619586,2016-06-08T09:00:00
113729.53083121777,2016-06-08T10:00:00
113275.34063494205,2016-06-08T11:00:00
113033.53263380527,2016-06-08T12:00:00
112531.93893642425,2016-06-08T13:00:00
112300.9282216072,2016-06-08T14:00:00
114422.26423652172,2016-06-08T15:00:00
113549.22575200796,2016-06-08T16:00:00
112753.35799076557,2016-06-08T17:00:00
111623.22779695987,2016-06-08T18:00:00
111082.0938395977,2016-06-08T19:00:00
114404.90535821914,2016-06-08T20:00:00
115703.98320901394,2016-06-08T21:00:00
117073.31277104616,2016-06-08T22:00:00
114322.15994907617,2016-06-08T23:00:00
110686.05641909837,2016-06-09T00:00:00
104343.17083244919,2016-06-09T01:00:00
101681.0769514203,2016-06-09T02:00:00
97910.84221166967,2016-06-09T03:00:00
94449.68512744903,2016-06-09T04:00:00
93758.4267466843,2016-06-09T05:00:00
90445.0761901617,2016-06-09T06:00:00
92890.67754546403,2016-06-09T07:00:00
101816.06436892747,2016-06-09T08:00:00
109733.31326318979,2016-06-09T09:00:00
116195.8678841114,2016-06-09T10:00:00
113832.88390688895,2016-06-09T11:00:00
113780.60455613135,2016-06-09T12:00:00
114079.9945278883,2016-06-09T13:00:00
113963.71031484603,2016-06-09T14:00:00
113758.23646248579,2016-06-09T15:00:00
114491.9984888792,2016-06-09T16:00:00
113573.59966564178,2016-06-09T17:00:00
112739.87205212115,2016-06-09T18:00:00
111648.35922771692,2016-06-09T19:00:00
111175.57251952885,2016-06-09T20:00:00
113915.46394257544,2016-06-09T21:00:00
113811.26799573898,2016-06-09T22:00:00
113276.7062996149,2016-06-09T23:00:00
109077.50081570148,2016-06-10T00:00:00
105247.80364909171,2016-06-10T01:00:00
100474.0320964694,2016-06-10T02:00:00
98457.1827655971,2016-06-10T03:00:00
95471.21830662488,2016-06-10T04:00:00
92982.51582739949,2016-06-10T05:00:00
92722.56742501259,2016-06-10T06:00:00
94072.14819556475,2016-06-10T07:00:00
100080.42726616858,2016-06-10T08:00:00
110049.14989192486,2016-06-10T09:00:00
114590.6250844717,2016-06-10T10:00:00
115059.01605949401,2016-06-10T11:00:00
114009.32138106822,2016-06-10T12:00:00
114179.01055129766,2016-06-10T13:00:00
114783.14646095037,2016-06-10T14:00:00
114818.71775797605,2016-06-10T15:00:00
114545.75553148985,2016-06-10T16:00:00
113121.42595860957,2016-06-10T17:00:00
112400.38701910972,2016-06-10T18:00:00
111861.20020083188,2016-06-10T19:00:00
111307.09242907762,2016-06-10T20:00:00
111234.75487843751,2016-06-10T21:00:00
112989.43660182953,2016-06-10T22:00:00
111380.62493630647,2016-06-10T23:00:00
108939.14724816084,2016-06-11T00:00:00
104014.5604378581,2016-06-11T01:00:00
100751.08331503271,2016-06-11T02:00:00
97772.67802340984,2016-06-11T03:00:00
95837.33646807075,2016-06-11T04:00:00
93045.54178551435,2016-06-11T05:00:00
90937.77973060012,2016-06-11T06:00:00
90877.43175555467,2016-06-11T07:00:00
97661.95782698393,2016-06-11T08:00:00
104189.3655159831,2016-06-11T09:00:00
112546.15038442612,2016-06-11T10:00:00
114615.9005501747,2016-06-11T11:00:00
112264.36468384265,2016-06-11T12:00:00
113903.18362977504,2016-06-11T13:00:00
113404.76403583288,2016-06-11T14:00:00
113157.32266792058,2016-06-11T15:00:00
112793.33569021225,2016-06-11T16:00:00
112691.60434134006,2016-06-11T17:00:00
108595.26114735602,2016-06-11T18:00:00
108972.48333621025,2016-06-11T19:00:00
109844.89233466386,2016-06-11T20:00:00
110695.57872941493,2016-06-11T21:00:00
111245.68553044795,2016-06-11T22:00:00
112469.20905014276,2016-06-11T23:00:00
109064.98044465779,2016-06-12T00:00:00
104360.48436641693,2016-06-12T01:00:00
98674.06205182671,2016-06-12T02:00:00
96080.1580484569,2016-06-12T03:00:00
92460.41315410136,2016-06-12T04:00:00
90302.2682085514,2016-06-12T05:00:00
88649.20313953757,2016-06-12T06:00:00
88991.70757178664,2016-06-12T07:00:00
91116.92452830076,2016-06-12T08:00:00
99832.703162992,2016-06-12T09:00:00
105214.2781817615,2016-06-12T10:00:00
111616.20742700099,2016-06-12T11:00:00
112958.51710009575,2016-06-12T12:00:00
110706.62140860557,2016-06-12T13:00:00
111794.48534771203,2016-06-12T14:00:00
110697.4351798296,2016-06-12T15:00:00
109581.49509551525,2016-06-12T16:00:00
108686.90471538305,2016-06-12T17:00:00
