consumption,Datetime
618025.3852323531,2016-05-31T02:00:00
590789.5515322923,2016-05-31T03:00:00
563637.7254838585,2016-05-31T04:00:00
545081.3848489164,2016-05-31T05:00:00
542994.8183898567,2016-05-31T06:00:00
544744.8927953481,2016-05-31T07:00:00
571725.861998105,2016-05-31T08:00:00
602915.3185967444,2016-05-31T09:00:00
639532.6485909461,2016-05-31T10:00:00
665341.1536740302,2016-05-31T11:00:00
673534.3162330627,2016-05-31T12:00:00
671118.5125009059,2016-05-31T13:00:00
665774.4975673198,2016-05-31T14:00:00
655625.1603042125,2016-05-31T15:00:00
652521.5159512996,2016-05-31T16:00:00
653762.2881139754,2016-05-31T17:00:00
653774.6673854827,2016-05-31T18:00:00
657862.5887261867,2016-05-31T19:00:00
667228.8954321383,2016-05-31T20:00:00
681160.3638247489,2016-05-31T21:00:00
689721.4350022315,2016-05-31T22:00:00
687027.5278824805,2016-05-31T23:00:00
665574.944265747,2016-06-01T00:00:00
636176.3949331283,2016-06-01T01:00:00
587477.2775957822,2016-06-01T02:00:00
568592.1507262229,2016-06-01T03:00:00
553142.3584380983,2016-06-01T04:00:00
546941.8110227822,2016-06-01T05:00:00
552707.4775444507,2016-06-01T06:00:00
559653.3348219036,2016-06-01T07:00:00
585821.3696162938,2016-06-01T08:00:00
617416.8996278285,2016-06-01T09:00:00
652802.2839354514,2016-06-01T10:00:00
676173.6823920249,2016-06-01T11:00:00
680341.0003832816,2016-06-01T12:00:00
673984.6885637282,2016-06-01T13:00:00
671645.0478831767,2016-06-01T14:00:00
661227.9047879218,2016-06-01T15:00:00
657642.4541918277,2016-06-01T16:00:00
658354.6508904933,2016-06-01T17:00:00
657523.6159609794,2016-06-01T18:00:00
660931.7737392425,2016-06-01T19:00:00
670275.2232028483,2016-06-01T20:00:00
684081.0253359317,2016-06-01T21:00:00
692546.157159233,2016-06-01T22:00:00
689842.4798521041,2016-06-01T23:00:00
668100.0658473014,2016-06-02T00:00:00
638186.9718169211,2016-06-02T01:00:00
588109.8625332355,2016-06-02T02:00:00
569791.496739292,2016-06-02T03:00:00
555073.9862402915,2016-06-02T04:00:00
549252.0231772899,2016-06-02T05:00:00
554805.8195773601,2016-06-02T06:00:00
561624.4805339812,2016-06-02T07:00:00
587171.195944333,2016-06-02T08:00:00
617538.9159451961,2016-06-02T09:00:00
651891.4915246009,2016-06-02T10:00:00
674769.4400061606,2016-06-02T11:00:00
679035.4313386916,2016-06-02T12:00:00
673147.9497322082,2016-06-02T13:00:00
668539.2663017749,2016-06-02T14:00:00
658147.5895329951,2016-06-02T15:00:00
654363.0436128615,2016-06-02T16:00:00
654710.3571204185,2016-06-02T17:00:00
653637.1353444098,2016-06-02T18:00:00
656717.0203780173,2016-06-02T19:00:00
664348.424919033,2016-06-02T20:00:00
677400.0768357753,2016-06-02T21:00:00
685675.9667910575,2016-06-02T22:00:00
683347.1371559142,2016-06-02T23:00:00
662983.7906507491,2016-06-03T00:00:00
634813.3705252646,2016-06-03T01:00:00
584511.9979703664,2016-06-03T02:00:00
566526.8628748297,2016-06-03T03:00:00
551804.6476975321,2016-06-03T04:00:00
545660.2580424785,2016-06-03T05:00:00
550802.5928545832,2016-06-03T06:00:00
557306.7724354505,2016-06-03T07:00:00
575956.346193695,2016-06-03T08:00:00
603276.454698944,2016-06-03T09:00:00
637183.5569194793,2016-06-03T10:00:00
662342.6221040725,2016-06-03T11:00:00
671891.8422612189,2016-06-03T12:00:00
671998.3844892024,2016-06-03T13:00:00
659672.890646839,2016-06-03T14:00:00
649676.4068550109,2016-06-03T15:00:00
646158.112419033,2016-06-03T16:00:00
646545.3809968471,2016-06-03T17:00:00
645844.7447613715,2016-06-03T18:00:00
648984.111361885,2016-06-03T19:00:00
652327.3057209491,2016-06-03T20:00:00
665553.8772992133,2016-06-03T21:00:00
674352.3751324653,2016-06-03T22:00:00
672613.5038289069,2016-06-03T23:00:00
653841.0324934958,2016-06-04T00:00:00
627521.3897879361,2016-06-04T01:00:00
578737.727022314,2016-06-04T02:00:00
559930.3106132983,2016-06-04T03:00:00
543921.5949105262,2016-06-04T04:00:00
536631.8502831995,2016-06-04T05:00:00
542144.8710699319,2016-06-04T06:00:00
548535.3993624686,2016-06-04T07:00:00
561579.2864783048,2016-06-04T08:00:00
583711.009142661,2016-06-04T09:00:00
616183.3440808295,2016-06-04T10:00:00
644212.3740514754,2016-06-04T11:00:00
661312.0061167716,2016-06-04T12:00:00
