consumption,Datetime
89588.27897946238,2016-05-31T02:00:00
90210.92071235775,2016-05-31T03:00:00
89890.81904883384,2016-05-31T04:00:00
89327.30099394321,2016-05-31T05:00:00
88747.46164582371,2016-05-31T06:00:00
95952.3216992855,2016-05-31T07:00:00
100957.00260879993,2016-05-31T08:00:00
109270.76370542048,2016-05-31T09:00:00
114072.59006474017,2016-05-31T10:00:00
113839.13609046936,2016-05-31T11:00:00
110649.30616936683,2016-05-31T12:00:00
111568.95329546928,2016-05-31T13:00:00
113488.18160805701,2016-05-31T14:00:00
114596.21577422618,2016-05-31T15:00:00
113983.72050307988,2016-05-31T16:00:00
114247.82724770307,2016-05-31T17:00:00
113777.91056917905,2016-05-31T18:00:00
113123.88522194623,2016-05-31T19:00:00
112602.22265542745,2016-05-31T20:00:00
112323.2429689765,2016-05-31T21:00:00
118942.04883313179,2016-05-31T22:00:00
116393.50516848563,2016-05-31T23:00:00
111733.93732413053,2016-06-01T00:00:00
106031.06035062074,2016-06-01T01:00:00
102432.60328781605,2016-06-01T02:00:00
100468.54809926747,2016-06-01T03:00:00
98961.2197224319,2016-06-01T04:00:00
95480.76462276577,2016-06-01T05:00:00
93443.75573408604,2016-06-01T06:00:00
94313.40406274199,2016-06-01T07:00:00
107168.54699592589,2016-06-01T08:00:00
112929.56074132919,2016-06-01T09:00:00
118198.97788152694,2016-06-01T10:00:00
117948.05833640098,2016-06-01T11:00:00
115314.44869959354,2016-06-01T12:00:00
112642.65379822254,2016-06-01T13:00:00
113342.81300518512,2016-06-01T14:00:00
115074.78521876334,2016-06-01T15:00:00
116018.82759701012,2016-06-01T16:00:00
115275.52725641726,2016-06-01T17:00:00
114269.94994847773,2016-06-01T18:00:00
113947.64241642952,2016-06-01T19:00:00
113663.57349522114,2016-06-01T20:00:00
113345.18691447972,2016-06-01T21:00:00
113005.82457790374,2016-06-01T22:00:00
115734.60397160053,2016-06-01T23:00:00
111997.31322476863,2016-06-02T00:00:00
105729.4111640632,2016-06-02T01:00:00
99710.40949192643,2016-06-02T02:00:00
96651.25127457976,2016-06-02T03:00:00
96482.88242468833,2016-06-02T04:00:00
94802.71478000878,2016-06-02T05:00:00
93197.54399784206,2016-06-02T06:00:00
95300.00076557993,2016-06-02T07:00:00
101732.75615656971,2016-06-02T08:00:00
114588.54457969665,2016-06-02T09:00:00
114845.10816085339,2016-06-02T10:00:00
115006.46464272737,2016-06-02T11:00:00
114333.22396677732,2016-06-02T12:00:00
113248.52879648207,2016-06-02T13:00:00
113020.34543430805,2016-06-02T14:00:00
113210.87699468136,2016-06-02T15:00:00
114120.84710626601,2016-06-02T16:00:00
114458.01691088676,2016-06-02T17:00:00
113587.30432401894,2016-06-02T18:00:00
110849.1519895792,2016-06-02T19:00:00
111235.11229848862,2016-06-02T20:00:00
112145.64788060187,2016-06-02T21:00:00
112523.53156328201,2016-06-02T22:00:00
112116.95825321674,2016-06-02T23:00:00
107204.9504948616,2016-06-03T00:00:00
104451.21304580569,2016-06-03T01:00:00
99977.67166879177,2016-06-03T02:00:00
96092.52371529936,2016-06-03T03:00:00
94058.10478833318,2016-06-03T04:00:00
91957.63250207304,2016-06-03T05:00:00
91539.96850116848,2016-06-03T06:00:00
94364.90455786586,2016-06-03T07:00:00
100527.46372679471,2016-06-03T08:00:00
108439.18061220646,2016-06-03T09:00:00
113789.66275384426,2016-06-03T10:00:00
113417.75918873548,2016-06-03T11:00:00
113117.55301895141,2016-06-03T12:00:00
112745.65478847026,2016-06-03T13:00:00
112164.64448958635,2016-06-03T14:00:00
111307.40717210769,2016-06-03T15:00:00
111402.96102218627,2016-06-03T16:00:00
111880.6395839095,2016-06-03T17:00:00
111834.02027306556,2016-06-03T18:00:00
110953.4119519472,2016-06-03T19:00:00
109591.3748258829,2016-06-03T20:00:00
110664.13109954595,2016-06-03T21:00:00
112333.4534462571,2016-06-03T22:00:00
112096.39326370954,2016-06-03T23:00:00
110568.95600802898,2016-06-04T00:00:00
105375.78136589527,2016-06-04T01:00:00
102819.82256884575,2016-06-04T02:00:00
98471.33553269506,2016-06-04T03:00:00
94970.20608365536,2016-06-04T04:00:00
93497.98489124178,2016-06-04T05:00:00
92255.40341434478,2016-06-04T06:00:00
93506.1068618059,2016-06-04T07:00:00
99242.43995248675,2016-06-04T08:00:00
106217.42556681632,2016-06-04T09:00:00
111609.0910337448,2016-06-04T10:00:00
112796.29107391834,2016-06-04T11:00:00
112756.96953366994,2016-06-04T12:00:00
112966.29498717784,2016-06-04T13:00:00
112940.31535062789,2016-06-04T14:00:00
112378.59506524801,2016-06-04T15:00:00
110955.39109879732,2016-06-04T16:00:00
110655.54234906434,2016-06-04T17:00:00
110035.4505681753,2016-06-04T18:00:00
109538.96744406223,2016-06-04T19:00:00
109319.02074694633,2016-06-04T20:00:00
111827.72541246413,2016-06-04T21:00:00
112372.72164022923,2016-06-04T22:00:00
112365.82930133342,2016-06-04T23:00:00
109674.37629715203,2016-06-05T00:00:00
106639.29858891963,2016-06-05T01:00:00
98342.66964892745,2016-06-05T02:00:00
96880.41354092359,2016-06-05T03:00:00
93521.43057966827,2016-06-05T04:00:00
91064.47713677287,2016-06-05T05:00:00
90650.2593053162,2016-06-05T06:00:00
91592.12782280444,2016-06-05T07:00:00
93771.42723421454,2016-06-05T08:00:00
100005.03564121126,2016-06-05T09:00:00
106202.38725153207,2016-06-05T10:00:00
109630.14689948558,2016-06-05T11:00:00
110462.15676290989,2016-06-05T12:00:00
110685.46427543163,2016-06-05T13:00:00
111109.20441720485,2016-06-05T14:00:00
111294.02792601584,2016-06-05T15:00:00
110937.81883538961,2016-06-05T16:00:00
108520.3202984333,2016-06-05T17:00:00
108716.77329547405,2016-06-05T18:00:00
108812.47651512623,2016-06-05T19:00:00
108848.57060565948,2016-06-05T20:00:00
108818.98476083278,2016-06-05T21:00:00
114165.41258547305,2016-06-05T22:00:00
111355.96295278071,2016-06-05T23:00:00
106445.05679503083,2016-06-06T00:00:00
101304.70830298662,2016-06-06T01:00:00
98435.52151011227,2016-06-06T02:00:00
97834.27696863412,2016-06-06T03:00:00
96425.29778675437,2016-06-06T04:00:00
92876.77017123699,2016-06-06T05:00:00
90902.66454423666,2016-06-06T06:00:00
92109.63471440076,2016-06-06T07:00:00
106512.0223756492,2016-06-06T08:00:00
111744.59057550429,2016-06-06T09:00:00
116501.35000061989,2016-06-06T10:00:00
116177.39940326213,2016-06-06T11:00:00
113644.30482022761,2016-06-06T12:00:00
111498.88829619884,2016-06-06T13:00:00
112389.02426226139,2016-06-06T14:00:00
114426.82000851631,2016-06-06T15:00:00
115584.2955035448,2016-06-06T16:00:00
114856.04414749146,2016-06-06T17:00:00
113568.15834546089,2016-06-06T18:00:00
113249.9264689207,2016-06-06T19:00:00
112919.4889643669,2016-06-06T20:00:00
112573.8691095829,2016-06-06T21:00:00
112214.40056147575,2016-06-06T22:00:00
115883.98421444892,2016-06-06T23:00:00
112382.06790783405,2016-06-07T00:00:00
106281.3770828247,2016-06-07T01:00:00
100263.2396203637,2016-06-07T02:00:00
97225.8280125439,2016-06-07T03:00:00
95741.81195844412,2016-06-07T04:00:00
93513.73271200061,2016-06-07T05:00:00
91329.65080692171,2016-06-07T06:00:00
93517.58698046207,2016-06-07T07:00:00
100871.4031738758,2016-06-07T08:00:00
113160.50744061469,2016-06-07T09:00:00
114193.70211578607,2016-06-07T10:00:00
114859.47431305646,2016-06-07T11:00:00
113779.58030762672,2016-06-07T12:00:00
112069.39471328259,2016-06-07T13:00:00
112890.20185868739,2016-06-07T14:00:00
112966.07093281746,2016-06-07T15:00:00
113602.92944834231,2016-06-07T16:00:00
113671.76214863062,2016-06-07T17:00:00
112678.80123503208,2016-06-07T18:00:00
110483.17519576549,2016-06-07T19:00:00
111316.02793035506,2016-06-07T20:00:00
113129.97203207016,2016-06-07T21:00:00
113780.14577815532,2016-06-07T22:00:00
113029.45697829722,2016-06-07T23:00:00
108267.67233395576,2016-06-08T00:00:00
105089.7546363473,2016-06-08T01:00:00
100026.01406435965,2016-06-08T02:00:00
95675.07309949993,2016-06-08T03:00:00
93438.50112587214,2016-06-08T04:00:00
89815.34473714828,2016-06-08T05:00:00
89113.89988492726,2016-06-08T06:00:00
93180.14510983229,2016-06-08T07:00:00
101035.82706663608,2016-06-08T08:00:00
110143.4554391384,2016-06-08T09:00:00
114641.70414401293,2016-06-08T10:00:00
113974.03815393447,2016-06-08T11:00:00
113290.31493469476,2016-06-08T12:00:00
112596.7333235979,2016-06-08T13:00:00
111806.62162556648,2016-06-08T14:00:00
113039.0166310072,2016-06-08T15:00:00
112779.22560013532,2016-06-08T16:00:00
112475.4879068613,2016-06-08T17:00:00
111773.92569283246,2016-06-08T18:00:00
110790.64179375171,2016-06-08T19:00:00
111008.58267087936,2016-06-08T20:00:00
112509.18141496181,2016-06-08T21:00:00
114616.97814495563,2016-06-08T22:00:00
113634.43042448758,2016-06-08T23:00:00
111507.44503891468,2016-06-09T00:00:00
105022.01820203662,2016-06-09T01:00:00
102348.02276676893,2016-06-09T02:00:00
97864.61499595642,2016-06-09T03:00:00
94212.44356756209,2016-06-09T04:00:00
92579.43669843077,2016-06-09T05:00:00
92624.72235236764,2016-06-09T06:00:00
95034.25895758867,2016-06-09T07:00:00
103193.62259407638,2016-06-09T08:00:00
111011.9808286786,2016-06-09T09:00:00
114655.81423408985,2016-06-09T10:00:00
112644.10481693744,2016-06-09T11:00:00
113036.54669841527,2016-06-09T12:00:00
114171.55807650089,2016-06-09T13:00:00
