consumption,Datetime
609551.6697998284,2016-05-31T02:00:00
578226.4783749818,2016-05-31T03:00:00
549299.0560821532,2016-05-31T04:00:00
533240.3861329793,2016-05-31T05:00:00
541148.619010502,2016-05-31T06:00:00
548763.1390995025,2016-05-31T07:00:00
583359.0187130212,2016-05-31T08:00:00
610845.3869409799,2016-05-31T09:00:00
646953.8553222655,2016-05-31T10:00:00
670823.9219221114,2016-05-31T11:00:00
680729.9204558372,2016-05-31T12:00:00
676174.1958819865,2016-05-31T13:00:00
669830.3327244758,2016-05-31T14:00:00
658734.6473402022,2016-05-31T15:00:00
653381.9308334826,2016-05-31T16:00:00
653913.0598691939,2016-05-31T17:00:00
656493.8187819957,2016-05-31T18:00:00
663768.5698493957,2016-05-31T19:00:00
656871.344928646,2016-05-31T20:00:00
675550.666409397,2016-05-31T21:00:00
691533.0275868415,2016-05-31T22:00:00
692352.0301975249,2016-05-31T23:00:00
675468.3831125735,2016-06-01T00:00:00
649121.9209650992,2016-06-01T01:00:00
591502.6156126498,2016-06-01T02:00:00
573917.8118632077,2016-06-01T03:00:00
559452.7892356752,2016-06-01T04:00:00
553975.384875977,2016-06-01T05:00:00
563129.394708538,2016-06-01T06:00:00
574133.6164281606,2016-06-01T07:00:00
600406.0527525186,2016-06-01T08:00:00
628217.0368439197,2016-06-01T09:00:00
664354.0733086108,2016-06-01T10:00:00
687954.0580667495,2016-06-01T11:00:00
695615.2172693252,2016-06-01T12:00:00
688951.9494775771,2016-06-01T13:00:00
682082.0644277572,2016-06-01T14:00:00
671214.2436834811,2016-06-01T15:00:00
666838.9900139808,2016-06-01T16:00:00
668949.9333681106,2016-06-01T17:00:00
672169.6125742435,2016-06-01T18:00:00
680258.314621353,2016-06-01T19:00:00
676878.4404253005,2016-06-01T20:00:00
696548.7420195579,2016-06-01T21:00:00
712489.3162166118,2016-06-01T22:00:00
712219.6784743308,2016-06-01T23:00:00
692004.0505408286,2016-06-02T00:00:00
661958.8924435615,2016-06-02T01:00:00
601814.7708279132,2016-06-02T02:00:00
583275.3129102229,2016-06-02T03:00:00
568248.646759057,2016-06-02T04:00:00
561753.2242637514,2016-06-02T05:00:00
569024.2664070367,2016-06-02T06:00:00
578874.0377899646,2016-06-02T07:00:00
609355.5235735415,2016-06-02T08:00:00
636628.155074501,2016-06-02T09:00:00
672246.6360684871,2016-06-02T10:00:00
695677.9740694999,2016-06-02T11:00:00
702651.5840915679,2016-06-02T12:00:00
695653.7845288753,2016-06-02T13:00:00
683829.4568890571,2016-06-02T14:00:00
671780.7757703303,2016-06-02T15:00:00
665554.5850826739,2016-06-02T16:00:00
665446.3497256278,2016-06-02T17:00:00
666530.9376713275,2016-06-02T18:00:00
672664.797312641,2016-06-02T19:00:00
660314.8641237258,2016-06-02T20:00:00
677480.4171976089,2016-06-02T21:00:00
691151.2131051063,2016-06-02T22:00:00
689785.7461503982,2016-06-02T23:00:00
671577.1700614928,2016-06-03T00:00:00
644752.0936354636,2016-06-03T01:00:00
585940.388262534,2016-06-03T02:00:00
563942.05502429,2016-06-03T03:00:00
544873.4734573602,2016-06-03T04:00:00
538061.2866376876,2016-06-03T05:00:00
550079.095907235,2016-06-03T06:00:00
561251.1282280325,2016-06-03T07:00:00
589039.0364969014,2016-06-03T08:00:00
616188.326321268,2016-06-03T09:00:00
652472.4152084826,2016-06-03T10:00:00
676967.6627756595,2016-06-03T11:00:00
687231.4527877807,2016-06-03T12:00:00
683164.1959485053,2016-06-03T13:00:00
671661.4379276275,2016-06-03T14:00:00
659941.5152873038,2016-06-03T15:00:00
653979.4804896354,2016-06-03T16:00:00
653955.5962673663,2016-06-03T17:00:00
656048.3731793403,2016-06-03T18:00:00
662919.4378682612,2016-06-03T19:00:00
657988.8933786391,2016-06-03T20:00:00
674362.6310535907,2016-06-03T21:00:00
688053.8139003753,2016-06-03T22:00:00
688060.1145609855,2016-06-03T23:00:00
671918.9878386497,2016-06-04T00:00:00
647594.9406002997,2016-06-04T01:00:00
591269.7409759997,2016-06-04T02:00:00
568595.7208692669,2016-06-04T03:00:00
548672.6469023465,2016-06-04T04:00:00
539613.8009847342,2016-06-04T05:00:00
549135.7107619285,2016-06-04T06:00:00
558565.1767331599,2016-06-04T07:00:00
569381.044783616,2016-06-04T08:00:00
598598.0476585864,2016-06-04T09:00:00
639347.1538118361,2016-06-04T10:00:00
668496.1192668914,2016-06-04T11:00:00
684164.3078564643,2016-06-04T12:00:00
683388.18859663,2016-06-04T13:00:00
667303.3237203597,2016-06-04T14:00:00
655074.1300629615,2016-06-04T15:00:00
647760.8672484397,2016-06-04T16:00:00
645787.6224726676,2016-06-04T17:00:00
646407.6962965964,2016-06-04T18:00:00
651803.1851293086,2016-06-04T19:00:00
640404.7210830688,2016-06-04T20:00:00
656409.7590874671,2016-06-04T21:00:00
669581.7064363002,2016-06-04T22:00:00
668651.2487477302,2016-06-04T23:00:00
653340.3659028052,2016-06-05T00:00:00
629851.2810982703,2016-06-05T01:00:00
587337.1919830083,2016-06-05T02:00:00
557983.1774959802,2016-06-05T03:00:00
531065.2148993253,2016-06-05T04:00:00
521662.89103599783,2016-06-05T05:00:00
537339.0630066632,2016-06-05T06:00:00
547840.8417378902,2016-06-05T07:00:00
546815.1941129207,2016-06-05T08:00:00
575692.3568409919,2016-06-05T09:00:00
617277.2164801597,2016-06-05T10:00:00
648315.0200637816,2016-06-05T11:00:00
668764.0222457885,2016-06-05T12:00:00
672183.0049475669,2016-06-05T13:00:00
657938.9460712909,2016-06-05T14:00:00
647889.1842264174,2016-06-05T15:00:00
643881.3534416198,2016-06-05T16:00:00
645562.1587451934,2016-06-05T17:00:00
650047.2576321601,2016-06-05T18:00:00
658768.5099214553,2016-06-05T19:00:00
653354.7436217307,2016-06-05T20:00:00
673941.1668199538,2016-06-05T21:00:00
691753.25926795,2016-06-05T22:00:00
693260.0192307471,2016-06-05T23:00:00
676011.3779298305,2016-06-06T00:00:00
648349.2989882468,2016-06-06T01:00:00
588220.8596335887,2016-06-06T02:00:00
568775.761552298,2016-06-06T03:00:00
552318.1272505759,2016-06-06T04:00:00
546232.6813857793,2016-06-06T05:00:00
556726.3553024768,2016-06-06T06:00:00
567967.4485535859,2016-06-06T07:00:00
595353.8319591521,2016-06-06T08:00:00
623502.6299938201,2016-06-06T09:00:00
661757.6043786048,2016-06-06T10:00:00
688204.3358496665,2016-06-06T11:00:00
699008.8030351638,2016-06-06T12:00:00
694615.854779148,2016-06-06T13:00:00
686526.6392420768,2016-06-06T14:00:00
674071.1769269942,2016-06-06T15:00:00
667039.0568055152,2016-06-06T16:00:00
665872.0051476001,2016-06-06T17:00:00
665709.6451729774,2016-06-06T18:00:00
670667.6405583858,2016-06-06T19:00:00
663487.6769622802,2016-06-06T20:00:00
681238.4975675582,2016-06-06T21:00:00
695846.2183615207,2016-06-06T22:00:00
695509.6048745154,2016-06-06T23:00:00
677594.0095039844,2016-06-07T00:00:00
650769.1134933471,2016-06-07T01:00:00
589802.8319976567,2016-06-07T02:00:00
570256.9164075493,2016-06-07T03:00:00
553781.7991604446,2016-06-07T04:00:00
547664.4926313399,2016-06-07T05:00:00
557968.8310027956,2016-06-07T06:00:00
569132.1339942454,2016-06-07T07:00:00
594969.5194181441,2016-06-07T08:00:00
622363.077805066,2016-06-07T09:00:00
658793.4072455405,2016-06-07T10:00:00
683278.4682821273,2016-06-07T11:00:00
692669.3392375945,2016-06-07T12:00:00
687615.043667221,2016-06-07T13:00:00
679635.1876138686,2016-06-07T14:00:00
667623.4361380576,2016-06-07T15:00:00
660896.273541355,2016-06-07T16:00:00
659857.594373846,2016-06-07T17:00:00
660231.151381874,2016-06-07T18:00:00
665575.8602208137,2016-06-07T19:00:00
656910.5644592284,2016-06-07T20:00:00
673779.57014122,2016-06-07T21:00:00
687426.0654832362,2016-06-07T22:00:00
686210.7735251426,2016-06-07T23:00:00
668582.0802620887,2016-06-08T00:00:00
642404.8755084514,2016-06-08T01:00:00
586896.7078036307,2016-06-08T02:00:00
568053.218724811,2016-06-08T03:00:00
552088.8678608178,2016-06-08T04:00:00
546386.0969203948,2016-06-08T05:00:00
557119.2965565561,2016-06-08T06:00:00
568620.1081729173,2016-06-08T07:00:00
591405.6909128665,2016-06-08T08:00:00
620573.8150947331,2016-06-08T09:00:00
658964.2467435836,2016-06-08T10:00:00
684538.8779663085,2016-06-08T11:00:00
694178.7221626281,2016-06-08T12:00:00
688393.855279827,2016-06-08T13:00:00
681203.0251258849,2016-06-08T14:00:00
670206.8457693099,2016-06-08T15:00:00
665182.3187386035,2016-06-08T16:00:00
666223.6625026702,2016-06-08T17:00:00
668298.397875452,2016-06-08T18:00:00
675203.8525136947,2016-06-08T19:00:00
670093.7947091102,2016-06-08T20:00:00
688531.6648830413,2016-06-08T21:00:00
703149.2668892383,2016-06-08T22:00:00
701864.5288833617,2016-06-08T23:00:00
682060.5811180114,2016-06-09T00:00:00
652998.4926132201,2016-06-09T01:00:00
595149.4421372651,2016-06-09T02:00:00
575255.9736422538,2016-06-09T03:00:00
558629.1201114892,2016-06-09T04:00:00
551662.6018021344,2016-06-09T05:00:00
560432.5211434006,2016-06-09T06:00:00
570692.8208115934,2016-06-09T07:00:00
597997.0076585053,2016-06-09T08:00:00
626640.9696144103,2016-06-09T09:00:00
664393.1679362296,2016-06-09T10:00:00
689586.1789707183,2016-06-09T11:00:00
698559.7074903487,2016-06-09T12:00:00
692494.8497973918,2016-06-09T13:00:00
681294.3708266257,2016-06-09T14:00:00
669234.2402695655,2016-06-09T15:00:00
662501.623576784,2016-06-09T16:00:00
661451.0647496223,2016-06-09T17:00:00
661704.7843030929,2016-06-09T18:00:00
666959.6046425342,2016-06-09T19:00:00
652758.9287289619,2016-06-09T20:00:00
668833.8568805694,2016-06-09T21:00:00
681324.3059035777,2016-06-09T22:00:00
679045.0627449988,2016-06-09T23:00:00
661331.3799542426,2016-06-10T00:00:00
635494.4802640914,2016-06-10T01:00:00
583255.2451673984,2016-06-10T02:00:00
558002.1176426052,2016-06-10T03:00:00
535532.5220530271,2016-06-10T04:00:00
528844.5269440054,2016-06-10T05:00:00
544320.9582586526,2016-06-10T06:00:00
556385.2869431018,2016-06-10T07:00:00
581085.2643457889,2016-06-10T08:00:00
608941.0955401896,2016-06-10T09:00:00
646522.1212893962,2016-06-10T10:00:00
672226.3185197352,2016-06-10T11:00:00
684050.6739157676,2016-06-10T12:00:00
680893.6127287387,2016-06-10T13:00:00
669478.6337350844,2016-06-10T14:00:00
657864.2679771422,2016-06-10T15:00:00
651583.9387938022,2016-06-10T16:00:00
650836.6998747825,2016-06-10T17:00:00
652232.7125431537,2016-06-10T18:00:00
658322.8145128726,2016-06-10T19:00:00
653095.9446810721,2016-06-10T20:00:00
667781.3967527389,2016-06-10T21:00:00
679622.6140488624,2016-06-10T22:00:00
678342.608477497,2016-06-10T23:00:00
662527.1315375804,2016-06-11T00:00:00
639326.4754323005,2016-06-11T01:00:00
590597.2287245034,2016-06-11T02:00:00
565196.254255557,2016-06-11T03:00:00
542345.8121822118,2016-06-11T04:00:00
532734.4285139679,2016-06-11T05:00:00
544280.24683156,2016-06-11T06:00:00
553897.1574559449,2016-06-11T07:00:00
562257.894688332,2016-06-11T08:00:00
591923.5386001109,2016-06-11T09:00:00
633455.4532608031,2016-06-11T10:00:00
663372.8772605895,2016-06-11T11:00:00
680290.8587824344,2016-06-11T12:00:00
680314.8262733459,2016-06-11T13:00:00
664796.6045087813,2016-06-11T14:00:00
652815.9677490233,2016-06-11T15:00:00
645301.9581157207,2016-06-11T16:00:00
642661.6343673705,2016-06-11T17:00:00
642634.6414491176,2016-06-11T18:00:00
647283.4881214141,2016-06-11T19:00:00
634105.6425770759,2016-06-11T20:00:00
648768.3067969321,2016-06-11T21:00:00
660452.1741150855,2016-06-11T22:00:00
658454.9202140807,2016-06-11T23:00:00
643576.6179665565,2016-06-12T00:00:00
621151.914583826,2016-06-12T01:00:00
582636.2260796069,2016-06-12T02:00:00
552031.7386330604,2016-06-12T03:00:00
523598.0959202885,2016-06-12T04:00:00
515185.7355991244,2016-06-12T05:00:00
533727.4972825884,2016-06-12T06:00:00
544331.3911256432,2016-06-12T07:00:00
540310.9763672589,2016-06-12T08:00:00
569174.5246722936,2016-06-12T09:00:00
611040.2633204698,2016-06-12T10:00:00
642617.8628176688,2016-06-12T11:00:00
664395.7215079307,2016-06-12T12:00:00
668914.0723394393,2016-06-12T13:00:00
654863.2105916976,2016-06-12T14:00:00
644887.4329356193,2016-06-12T15:00:00
640431.5335859298,2016-06-12T16:00:00
641197.2165092467,2016-06-12T17:00:00
644808.9522401332,2016-06-12T18:00:00
652543.1380421161,2016-06-12T19:00:00
645593.9951228141,2016-06-12T20:00:00
664910.7380613326,2016-06-12T21:00:00
681296.5358113288,2016-06-12T22:00:00
681715.2660578727,2016-06-12T23:00:00
664936.9260493754,2016-06-13T00:00:00
638342.3788599013,2016-06-13T01:00:00
582693.9243097543,2016-06-13T02:00:00
561321.0391924023,2016-06-13T03:00:00
542619.0443542241,2016-06-13T04:00:00
536759.4802948772,2016-06-13T05:00:00
550206.6842845916,2016-06-13T06:00:00
562487.4593964457,2016-06-13T07:00:00
587974.6967094182,2016-06-13T08:00:00
616583.7691041469,2016-06-13T09:00:00
655833.0404700278,2016-06-13T10:00:00
683278.6348194121,2016-06-13T11:00:00
695539.3040236472,2016-06-13T12:00:00
692112.1609949111,2016-06-13T13:00:00
684394.961995983,2016-06-13T14:00:00
672463.8006879329,2016-06-13T15:00:00
665623.6980558871,2016-06-13T16:00:00
664235.928983116,2016-06-13T17:00:00
663699.9842442512,2016-06-13T18:00:00
668126.3371039866,2016-06-13T19:00:00
658804.0101193427,2016-06-13T20:00:00
675388.7921685218,2016-06-13T21:00:00
688617.8895622729,2016-06-13T22:00:00
687097.8343729018,2016-06-13T23:00:00
669213.1039124965,2016-06-14T00:00:00
642972.8231622218,2016-06-14T01:00:00
584229.9462613105,2016-06-14T02:00:00
563110.5204829215,2016-06-14T03:00:00
544810.3211311339,2016-06-14T04:00:00
538653.2035171329,2016-06-14T05:00:00
551131.6462427615,2016-06-14T06:00:00
563015.6705601453,2016-06-14T07:00:00
586501.8964746236,2016-06-14T08:00:00
614915.5859389543,2016-06-14T09:00:00
653255.9314993857,2016-06-14T10:00:00
679552.9181951522,2016-06-14T11:00:00
690949.7307466506,2016-06-14T12:00:00
686981.0362237929,2016-06-14T13:00:00
678903.8946398734,2016-06-14T14:00:00
