consumption,Datetime
86983.65504187346,2016-05-31T02:00:00
82326.61447735726,2016-05-31T03:00:00
81965.22012867629,2016-05-31T04:00:00
82270.86095035671,2016-05-31T05:00:00
80351.35123616159,2016-05-31T06:00:00
93447.32459996938,2016-05-31T07:00:00
94699.76446872353,2016-05-31T08:00:00
103250.00694079399,2016-05-31T09:00:00
109845.39378966093,2016-05-31T10:00:00
110130.90839495658,2016-05-31T11:00:00
106462.0395820856,2016-05-31T12:00:00
105368.29955064654,2016-05-31T13:00:00
106682.20499893426,2016-05-31T14:00:00
108628.33583865165,2016-05-31T15:00:00
110052.47869956493,2016-05-31T16:00:00
112852.93948470353,2016-05-31T17:00:00
111512.01681479215,2016-05-31T18:00:00
111738.53043851852,2016-05-31T19:00:00
112892.18634016514,2016-05-31T20:00:00
114226.13131713867,2016-05-31T21:00:00
121840.2346617937,2016-05-31T22:00:00
118284.04385368823,2016-05-31T23:00:00
112568.97192142009,2016-06-01T00:00:00
106820.53189333677,2016-06-01T01:00:00
102561.90932689904,2016-06-01T02:00:00
99118.2098115921,2016-06-01T03:00:00
95830.13205345868,2016-06-01T04:00:00
93639.1204670906,2016-06-01T05:00:00
92922.45858955978,2016-06-01T06:00:00
93413.93516564369,2016-06-01T07:00:00
107120.17259259224,2016-06-01T08:00:00
110104.8647428751,2016-06-01T09:00:00
114307.67643506527,2016-06-01T10:00:00
114406.65511608124,2016-06-01T11:00:00
112279.89911949635,2016-06-01T12:00:00
107598.18723585605,2016-06-01T13:00:00
107121.52758800983,2016-06-01T14:00:00
108625.60450930595,2016-06-01T15:00:00
110035.83466136456,2016-06-01T16:00:00
110845.04432630539,2016-06-01T17:00:00
110494.75133771896,2016-06-01T18:00:00
108957.62106363772,2016-06-01T19:00:00
109074.90818667412,2016-06-01T20:00:00
110284.78572889566,2016-06-01T21:00:00
111782.79717857837,2016-06-01T22:00:00
113551.6636768341,2016-06-01T23:00:00
109156.0958845496,2016-06-02T00:00:00
103320.07460737824,2016-06-02T01:00:00
98912.35986798405,2016-06-02T02:00:00
96801.77579505443,2016-06-02T03:00:00
97092.88909204601,2016-06-02T04:00:00
92580.95173267722,2016-06-02T05:00:00
92942.09802117347,2016-06-02T06:00:00
97251.70629116893,2016-06-02T07:00:00
100731.46255461573,2016-06-02T08:00:00
114281.31803995371,2016-06-02T09:00:00
114344.0852686286,2016-06-02T10:00:00
114075.86552610397,2016-06-02T11:00:00
111738.99988574981,2016-06-02T12:00:00
109108.6176986575,2016-06-02T13:00:00
110576.31779415607,2016-06-02T14:00:00
112337.8225062847,2016-06-02T15:00:00
115185.57476534843,2016-06-02T16:00:00
115236.16837377548,2016-06-02T17:00:00
113775.75537961721,2016-06-02T18:00:00
111204.16612361668,2016-06-02T19:00:00
109606.78656510114,2016-06-02T20:00:00
109436.59593987465,2016-06-02T21:00:00
110296.84198733568,2016-06-02T22:00:00
111559.06289584636,2016-06-02T23:00:00
105116.04368129968,2016-06-03T00:00:00
101569.50588188767,2016-06-03T01:00:00
97661.34167749285,2016-06-03T02:00:00
95255.76603328585,2016-06-03T03:00:00
95031.7410133481,2016-06-03T04:00:00
95040.58849326968,2016-06-03T05:00:00
90329.7068657577,2016-06-03T06:00:00
93773.53174481391,2016-06-03T07:00:00
102106.13474621772,2016-06-03T08:00:00
107058.96307518482,2016-06-03T09:00:00
112012.72496398687,2016-06-03T10:00:00
110399.00010641813,2016-06-03T11:00:00
109156.1705693364,2016-06-03T12:00:00
108240.04963209628,2016-06-03T13:00:00
108073.39586498737,2016-06-03T14:00:00
109925.14647270441,2016-06-03T15:00:00
109618.64010769129,2016-06-03T16:00:00
109427.84181593655,2016-06-03T17:00:00
107909.72948935031,2016-06-03T18:00:00
106475.96296019554,2016-06-03T19:00:00
108834.71657770872,2016-06-03T20:00:00
109815.1624548912,2016-06-03T21:00:00
111040.87317191361,2016-06-03T22:00:00
109621.80354187488,2016-06-03T23:00:00
107498.53105713129,2016-06-04T00:00:00
99343.54714992642,2016-06-04T01:00:00
96503.26336954236,2016-06-04T02:00:00
93998.47432070374,2016-06-04T03:00:00
92109.70139724611,2016-06-04T04:00:00
91600.99397392273,2016-06-04T05:00:00
92234.67838600873,2016-06-04T06:00:00
88568.61025264263,2016-06-04T07:00:00
95282.8739435792,2016-06-04T08:00:00
105939.64350426792,2016-06-04T09:00:00
110680.96718434095,2016-06-04T10:00:00
111864.29961948394,2016-06-04T11:00:00
111021.66317782401,2016-06-04T12:00:00
111248.3315057516,2016-06-04T13:00:00
111581.65504385233,2016-06-04T14:00:00
112050.41944280862,2016-06-04T15:00:00
112385.26334978342,2016-06-04T16:00:00
110373.51659023762,2016-06-04T17:00:00
108719.47261705398,2016-06-04T18:00:00
107815.7333505392,2016-06-04T19:00:00
107890.5568376541,2016-06-04T20:00:00
109616.83700355291,2016-06-04T21:00:00
110746.92452033758,2016-06-04T22:00:00
110852.87555966376,2016-06-04T23:00:00
106965.30835254192,2016-06-05T00:00:00
102397.95754868387,2016-06-05T01:00:00
97314.6975742042,2016-06-05T02:00:00
94723.87698560357,2016-06-05T03:00:00
91719.78012732267,2016-06-05T04:00:00
88219.76828277111,2016-06-05T05:00:00
86150.20216167568,2016-06-05T06:00:00
92492.18886356949,2016-06-05T07:00:00
90307.90690995454,2016-06-05T08:00:00
97009.24746546149,2016-06-05T09:00:00
105716.99215094447,2016-06-05T10:00:00
108839.35236911773,2016-06-05T11:00:00
108931.84414293765,2016-06-05T12:00:00
108729.24565486907,2016-06-05T13:00:00
109835.7647867918,2016-06-05T14:00:00
110369.2008764863,2016-06-05T15:00:00
110554.56318268775,2016-06-05T16:00:00
107787.94527522325,2016-06-05T17:00:00
106027.76355074643,2016-06-05T18:00:00
105728.36290973425,2016-06-05T19:00:00
106535.7694705367,2016-06-05T20:00:00
107895.0752672553,2016-06-05T21:00:00
110093.68869799376,2016-06-05T22:00:00
107776.10240188836,2016-06-05T23:00:00
103927.90207934975,2016-06-06T00:00:00
99125.20350841283,2016-06-06T01:00:00
95576.21711491942,2016-06-06T02:00:00
92379.59087821841,2016-06-06T03:00:00
87415.99993801117,2016-06-06T04:00:00
86071.39904235005,2016-06-06T05:00:00
87043.1948208332,2016-06-06T06:00:00
87370.19949250817,2016-06-06T07:00:00
103502.83094798325,2016-06-06T08:00:00
106829.36070206165,2016-06-06T09:00:00
111286.61812824011,2016-06-06T10:00:00
111064.85232310294,2016-06-06T11:00:00
108482.54046556949,2016-06-06T12:00:00
104805.71772290468,2016-06-06T13:00:00
103850.04318911432,2016-06-06T14:00:00
106425.92948766946,2016-06-06T15:00:00
109738.41850183009,2016-06-06T16:00:00
111583.38879783153,2016-06-06T17:00:00
111172.38241220712,2016-06-06T18:00:00
109568.41992319822,2016-06-06T19:00:00
108963.37179222106,2016-06-06T20:00:00
109204.78503091335,2016-06-06T21:00:00
110107.7667803049,2016-06-06T22:00:00
104124.20037218928,2016-06-06T23:00:00
101139.65225685238,2016-06-07T00:00:00
97164.49046407342,2016-06-07T01:00:00
93323.99601114391,2016-06-07T02:00:00
91374.00556833744,2016-06-07T03:00:00
91712.89045574068,2016-06-07T04:00:00
85687.4098783493,2016-06-07T05:00:00
86177.92088683246,2016-06-07T06:00:00
91388.66512506007,2016-06-07T07:00:00
94681.24530891179,2016-06-07T08:00:00
109496.28508840798,2016-06-07T09:00:00
110434.9288234949,2016-06-07T10:00:00
111783.14392937422,2016-06-07T11:00:00
110715.45555195808,2016-06-07T12:00:00
108936.39991493225,2016-06-07T13:00:00
106553.15502197742,2016-06-07T14:00:00
106816.83499639033,2016-06-07T15:00:00
108462.43958866596,2016-06-07T16:00:00
108931.32668405771,2016-06-07T17:00:00
108751.06961649656,2016-06-07T18:00:00
109067.98917464017,2016-06-07T19:00:00
108419.99729125499,2016-06-07T20:00:00
111297.51677248477,2016-06-07T21:00:00
114969.25028039217,2016-06-07T22:00:00
117102.02907156944,2016-06-07T23:00:00
106828.32845161557,2016-06-08T00:00:00
102998.79399114847,2016-06-08T01:00:00
98250.02583822011,2016-06-08T02:00:00
94867.5225037515,2016-06-08T03:00:00
93835.06667450666,2016-06-08T04:00:00
92993.73721661567,2016-06-08T05:00:00
87356.1000716865,2016-06-08T06:00:00
90954.43977268337,2016-06-08T07:00:00
100404.99668033123,2016-06-08T08:00:00
106064.51113316417,2016-06-08T09:00:00
111280.73403396606,2016-06-08T10:00:00
109949.06160836219,2016-06-08T11:00:00
109219.91403486728,2016-06-08T12:00:00
108715.48765021563,2016-06-08T13:00:00
108788.24663643836,2016-06-08T14:00:00
107505.99420118332,2016-06-08T15:00:00
107197.75408219098,2016-06-08T16:00:00
107377.381663692,2016-06-08T17:00:00
106460.84729281068,2016-06-08T18:00:00
105622.34785487651,2016-06-08T19:00:00
108904.22677570581,2016-06-08T20:00:00
110309.15964252948,2016-06-08T21:00:00
111803.00474803447,2016-06-08T22:00:00
110016.68334817886,2016-06-08T23:00:00
107277.26670699118,2016-06-09T00:00:00
102213.82487415074,2016-06-09T01:00:00
99281.35606103539,2016-06-09T02:00:00
96132.17066783308,2016-06-09T03:00:00
93760.89667927622,2016-06-09T04:00:00
93205.47392181157,2016-06-09T05:00:00
93804.18718248009,2016-06-09T06:00:00
92965.85845263004,2016-06-09T07:00:00
101968.32531069516,2016-06-09T08:00:00
111954.0493947029,2016-06-09T09:00:00
114823.74297720194,2016-06-09T10:00:00
112677.280866158,2016-06-09T11:00:00
110263.85798470973,2016-06-09T12:00:00
108883.29369689226,2016-06-09T13:00:00
109132.56484208106,2016-06-09T14:00:00
110351.45790499449,2016-06-09T15:00:00
113076.22565871477,2016-06-09T16:00:00
111916.56296635866,2016-06-09T17:00:00
110690.92693412304,2016-06-09T18:00:00
108922.54588698148,2016-06-09T19:00:00
107636.28181174993,2016-06-09T20:00:00
112918.12329969405,2016-06-09T21:00:00
112593.10044218301,2016-06-09T22:00:00
111043.54048572778,2016-06-09T23:00:00
106895.93685486316,2016-06-10T00:00:00
102720.8678936541,2016-06-10T01:00:00
99205.25759791731,2016-06-10T02:00:00
96709.82015131116,2016-06-10T03:00:00
94227.36452103853,2016-06-10T04:00:00
91867.39460842608,2016-06-10T05:00:00
90898.0580932796,2016-06-10T06:00:00
97421.05937985778,2016-06-10T07:00:00
99712.97278050183,2016-06-10T08:00:00
107845.42588791846,2016-06-10T09:00:00
113089.2848271489,2016-06-10T10:00:00
112737.8662321329,2016-06-10T11:00:00
110475.01321549415,2016-06-10T12:00:00
109095.36648362875,2016-06-10T13:00:00
108852.3795297861,2016-06-10T14:00:00
109285.30590033531,2016-06-10T15:00:00
110192.19793177843,2016-06-10T16:00:00
110126.65136210917,2016-06-10T17:00:00
108218.55641738175,2016-06-10T18:00:00
106741.4593753159,2016-06-10T19:00:00
105931.84694598912,2016-06-10T20:00:00
106121.75968955754,2016-06-10T21:00:00
110917.56325428485,2016-06-10T22:00:00
108572.13553658723,2016-06-10T23:00:00
104818.20341886877,2016-06-11T00:00:00
100302.48114119767,2016-06-11T01:00:00
97003.98752261995,2016-06-11T02:00:00
94861.86246383785,2016-06-11T03:00:00
90660.15503956674,2016-06-11T04:00:00
88515.89879704714,2016-06-11T05:00:00
87941.43408626318,2016-06-11T06:00:00
87725.92579933404,2016-06-11T07:00:00
98769.83728895187,2016-06-11T08:00:00
100325.60141733884,2016-06-11T09:00:00
107290.51258739232,2016-06-11T10:00:00
112191.29628921747,2016-06-11T11:00:00
112356.17895995377,2016-06-11T12:00:00
111004.32030340433,2016-06-11T13:00:00
110240.38562314509,2016-06-11T14:00:00
110326.48651306628,2016-06-11T15:00:00
110237.21685433388,2016-06-11T16:00:00
110320.031613636,2016-06-11T17:00:00
108591.44155397415,2016-06-11T18:00:00
107178.320033741,2016-06-11T19:00:00
107960.66451394558,2016-06-11T20:00:00
109823.15372707843,2016-06-11T21:00:00
111520.98432383536,2016-06-11T22:00:00
107724.42052942514,2016-06-11T23:00:00
104116.81191292405,2016-06-12T00:00:00
99321.86188861728,2016-06-12T01:00:00
95219.43455182313,2016-06-12T02:00:00
93151.23142808676,2016-06-12T03:00:00
91352.79508888721,2016-06-12T04:00:00
85602.1945366144,2016-06-12T05:00:00
84966.55765081644,2016-06-12T06:00:00
87847.83004258275,2016-06-12T07:00:00
89394.42394607663,2016-06-12T08:00:00
100924.96550257801,2016-06-12T09:00:00
102153.34620072841,2016-06-12T10:00:00
107199.89326786995,2016-06-12T11:00:00
110346.02191944122,2016-06-12T12:00:00
110311.2721550703,2016-06-12T13:00:00
108288.66942830085,2016-06-12T14:00:00
107492.51893179415,2016-06-12T15:00:00
107212.92042853832,2016-06-12T16:00:00
106463.64263768791,2016-06-12T17:00:00
106094.86516436934,2016-06-12T18:00:00
104268.93682168721,2016-06-12T19:00:00
103860.40570328235,2016-06-12T20:00:00
106713.569942075,2016-06-12T21:00:00
109568.57996202707,2016-06-12T22:00:00
110814.0127973914,2016-06-12T23:00:00
99261.27918995619,2016-06-13T00:00:00
96058.73151658772,2016-06-13T01:00:00
92342.28849452734,2016-06-13T02:00:00
89022.8511278808,2016-06-13T03:00:00
87653.3748635888,2016-06-13T04:00:00
89417.86163256167,2016-06-13T05:00:00
82792.91027737856,2016-06-13T06:00:00
86881.43290725946,2016-06-13T07:00:00
97688.44425315857,2016-06-13T08:00:00
103886.91613528132,2016-06-13T09:00:00
109909.31329790353,2016-06-13T10:00:00
107826.14654366969,2016-06-13T11:00:00
106413.1290486753,2016-06-13T12:00:00
106003.62969535589,2016-06-13T13:00:00
106610.93437381982,2016-06-13T14:00:00
