consumption,Datetime
266998.4056423813,2016-05-31T02:00:00
246507.54415462018,2016-05-31T03:00:00
226484.48409592957,2016-05-31T04:00:00
220799.31014791355,2016-05-31T05:00:00
222325.16672143937,2016-05-31T06:00:00
223283.76841841117,2016-05-31T07:00:00
281701.42669267056,2016-05-31T08:00:00
319647.87252084014,2016-05-31T09:00:00
352170.4440877497,2016-05-31T10:00:00
374640.5789062142,2016-05-31T11:00:00
376470.89905110595,2016-05-31T12:00:00
367558.4309844732,2016-05-31T13:00:00
367100.5464212358,2016-05-31T14:00:00
361653.8890277803,2016-05-31T15:00:00
354085.58064556716,2016-05-31T16:00:00
349352.0916837215,2016-05-31T17:00:00
342470.3676526308,2016-05-31T18:00:00
334963.7767453551,2016-05-31T19:00:00
326808.88166055677,2016-05-31T20:00:00
328810.15424836276,2016-05-31T21:00:00
321212.9834724426,2016-05-31T22:00:00
308531.88645305333,2016-05-31T23:00:00
286555.1812676847,2016-06-01T00:00:00
264777.8566859722,2016-06-01T01:00:00
238574.0458487481,2016-06-01T02:00:00
224192.3177169174,2016-06-01T03:00:00
211820.24512487501,2016-06-01T04:00:00
215636.8145248577,2016-06-01T05:00:00
227857.80929122344,2016-06-01T06:00:00
236060.33183714972,2016-06-01T07:00:00
294505.20298378763,2016-06-01T08:00:00
331248.65995631216,2016-06-01T09:00:00
361277.79816488025,2016-06-01T10:00:00
381030.3000696659,2016-06-01T11:00:00
380697.71145472524,2016-06-01T12:00:00
370917.5895299077,2016-06-01T13:00:00
369815.86718536017,2016-06-01T14:00:00
364101.4515947163,2016-06-01T15:00:00
356275.0509283304,2016-06-01T16:00:00
351321.7498559117,2016-06-01T17:00:00
344166.1770873427,2016-06-01T18:00:00
336489.0284943938,2016-06-01T19:00:00
328772.73126191495,2016-06-01T20:00:00
329348.9753247857,2016-06-01T21:00:00
320808.10916728375,2016-06-01T22:00:00
307844.1178302079,2016-06-01T23:00:00
286032.2801868528,2016-06-02T00:00:00
264658.5159326255,2016-06-02T01:00:00
239418.37519337834,2016-06-02T02:00:00
225654.23701094874,2016-06-02T03:00:00
214031.8937153466,2016-06-02T04:00:00
218406.93041372896,2016-06-02T05:00:00
230886.44464799613,2016-06-02T06:00:00
239574.74135623724,2016-06-02T07:00:00
295137.4236234337,2016-06-02T08:00:00
333843.38802269695,2016-06-02T09:00:00
365820.2922947466,2016-06-02T10:00:00
387185.8963528633,2016-06-02T11:00:00
387670.41011170147,2016-06-02T12:00:00
378183.7394410729,2016-06-02T13:00:00
374558.80776343343,2016-06-02T14:00:00
368563.9904651105,2016-06-02T15:00:00
360314.90630260704,2016-06-02T16:00:00
355070.9285554647,2016-06-02T17:00:00
347788.6499913096,2016-06-02T18:00:00
340287.63080052135,2016-06-02T19:00:00
331562.80776870844,2016-06-02T20:00:00
330824.3748736739,2016-06-02T21:00:00
321716.3779061794,2016-06-02T22:00:00
309236.0262226224,2016-06-02T23:00:00
288869.59785661695,2016-06-03T00:00:00
268978.7842933595,2016-06-03T01:00:00
240549.6592158884,2016-06-03T02:00:00
228179.711263711,2016-06-03T03:00:00
217959.047307162,2016-06-03T04:00:00
222247.82672868893,2016-06-03T05:00:00
233127.92419726253,2016-06-03T06:00:00
239816.34688620866,2016-06-03T07:00:00
284586.07011624274,2016-06-03T08:00:00
323469.3820257246,2016-06-03T09:00:00
357016.72083274124,2016-06-03T10:00:00
380545.83142594097,2016-06-03T11:00:00
383158.94390097854,2016-06-03T12:00:00
374807.4597101569,2016-06-03T13:00:00
367488.02885023353,2016-06-03T14:00:00
362004.4672941327,2016-06-03T15:00:00
354017.08462486265,2016-06-03T16:00:00
348907.86572102306,2016-06-03T17:00:00
342063.3616583705,2016-06-03T18:00:00
335097.76863173244,2016-06-03T19:00:00
325269.55399618146,2016-06-03T20:00:00
324501.9654592037,2016-06-03T21:00:00
316055.3447732985,2016-06-03T22:00:00
305148.856373316,2016-06-03T23:00:00
287461.9612078428,2016-06-04T00:00:00
269880.020713976,2016-06-04T01:00:00
238295.51641826928,2016-06-04T02:00:00
226372.8664860338,2016-06-04T03:00:00
216349.30904946328,2016-06-04T04:00:00
218803.33717606813,2016-06-04T05:00:00
225958.34741556869,2016-06-04T06:00:00
227419.57094996274,2016-06-04T07:00:00
260469.55510903,2016-06-04T08:00:00
293567.3782063186,2016-06-04T09:00:00
324178.5239334762,2016-06-04T10:00:00
347226.92171612976,2016-06-04T11:00:00
352124.1447027683,2016-06-04T12:00:00
346075.6742560029,2016-06-04T13:00:00
336248.0799532592,2016-06-04T14:00:00
332553.52437708376,2016-06-04T15:00:00
326472.0183886349,2016-06-04T16:00:00
323327.4160430789,2016-06-04T17:00:00
318976.49196288583,2016-06-04T18:00:00
313684.98544392583,2016-06-04T19:00:00
304956.44605465827,2016-06-04T20:00:00
305699.37918224034,2016-06-04T21:00:00
298862.78718257544,2016-06-04T22:00:00
289783.2691303253,2016-06-04T23:00:00
274607.69546560047,2016-06-05T00:00:00
258902.76361945868,2016-06-05T01:00:00
232248.440310473,2016-06-05T02:00:00
219602.12951063868,2016-06-05T03:00:00
208479.50905397013,2016-06-05T04:00:00
209342.38493969143,2016-06-05T05:00:00
214758.9533722982,2016-06-05T06:00:00
212952.35249820203,2016-06-05T07:00:00
241764.72200371922,2016-06-05T08:00:00
268871.4723570853,2016-06-05T09:00:00
295040.0539302438,2016-06-05T10:00:00
315594.43749747274,2016-06-05T11:00:00
320897.1325645208,2016-06-05T12:00:00
316452.0983580708,2016-06-05T13:00:00
311270.4358611166,2016-06-05T14:00:00
309069.34843668935,2016-06-05T15:00:00
304539.24404480157,2016-06-05T16:00:00
303296.2662806421,2016-06-05T17:00:00
301578.88618240354,2016-06-05T18:00:00
297946.0368023872,2016-06-05T19:00:00
294459.76078595815,2016-06-05T20:00:00
298262.8520458549,2016-06-05T21:00:00
293574.8616757303,2016-06-05T22:00:00
285495.57388136385,2016-06-05T23:00:00
270541.5379802942,2016-06-06T00:00:00
254694.93339974285,2016-06-06T01:00:00
227919.99483546094,2016-06-06T02:00:00
216909.98839825988,2016-06-06T03:00:00
207907.19564534203,2016-06-06T04:00:00
213377.61037546993,2016-06-06T05:00:00
225771.1817288272,2016-06-06T06:00:00
231997.19424473718,2016-06-06T07:00:00
284831.2200022995,2016-06-06T08:00:00
325965.46589697,2016-06-06T09:00:00
361565.0912061095,2016-06-06T10:00:00
386495.16141132114,2016-06-06T11:00:00
389409.0337888956,2016-06-06T12:00:00
380643.1672827959,2016-06-06T13:00:00
377836.8831715643,2016-06-06T14:00:00
371589.6806508958,2016-06-06T15:00:00
363058.0969279468,2016-06-06T16:00:00
357694.0114705324,2016-06-06T17:00:00
350476.5182090163,2016-06-06T18:00:00
343044.908619976,2016-06-06T19:00:00
328982.4939810097,2016-06-06T20:00:00
330128.1922822058,2016-06-06T21:00:00
322289.75715935824,2016-06-06T22:00:00
310213.8286298275,2016-06-06T23:00:00
289559.3177081108,2016-06-07T00:00:00
268834.2072735339,2016-06-07T01:00:00
237487.5879208021,2016-06-07T02:00:00
224165.1161233172,2016-06-07T03:00:00
212859.8918932736,2016-06-07T04:00:00
217441.4698096946,2016-06-07T05:00:00
230194.78625647948,2016-06-07T06:00:00
238880.8624552399,2016-06-07T07:00:00
292194.2377010196,2016-06-07T08:00:00
331184.40475625393,2016-06-07T09:00:00
363636.0328075647,2016-06-07T10:00:00
385341.88377109764,2016-06-07T11:00:00
385893.9348544836,2016-06-07T12:00:00
376042.5987233877,2016-06-07T13:00:00
375634.88216609356,2016-06-07T14:00:00
369333.11291593907,2016-06-07T15:00:00
360863.4045708239,2016-06-07T16:00:00
355506.1991681814,2016-06-07T17:00:00
348182.6628329515,2016-06-07T18:00:00
340470.9560632467,2016-06-07T19:00:00
329690.24859902856,2016-06-07T20:00:00
331101.9907231092,2016-06-07T21:00:00
323166.7272884309,2016-06-07T22:00:00
310516.404415673,2016-06-07T23:00:00
288798.78968635795,2016-06-08T00:00:00
267193.0942742586,2016-06-08T01:00:00
238576.83734638095,2016-06-08T02:00:00
224114.6612134505,2016-06-08T03:00:00
211601.787877547,2016-06-08T04:00:00
215364.69144046158,2016-06-08T05:00:00
227682.84583277107,2016-06-08T06:00:00
236284.0083391428,2016-06-08T07:00:00
294066.15398033557,2016-06-08T08:00:00
330955.1748657882,2016-06-08T09:00:00
361072.2311513185,2016-06-08T10:00:00
380829.1768947601,2016-06-08T11:00:00
380459.571329391,2016-06-08T12:00:00
370615.85965243576,2016-06-08T13:00:00
369367.4793534636,2016-06-08T14:00:00
363448.8163663208,2016-06-08T15:00:00
355425.2062611043,2016-06-08T16:00:00
350283.0420458078,2016-06-08T17:00:00
342929.12068179843,2016-06-08T18:00:00
335059.0824221134,2016-06-08T19:00:00
325173.9776287436,2016-06-08T20:00:00
324812.53789887426,2016-06-08T21:00:00
315956.08024535177,2016-06-08T22:00:00
303359.90114789305,2016-06-08T23:00:00
282397.586726582,2016-06-09T00:00:00
261706.43669351042,2016-06-09T01:00:00
235724.60208244846,2016-06-09T02:00:00
222035.36767665335,2016-06-09T03:00:00
210405.4351730928,2016-06-09T04:00:00
214591.21256150902,2016-06-09T05:00:00
226803.20263323784,2016-06-09T06:00:00
234591.51486525536,2016-06-09T07:00:00
290636.85271256266,2016-06-09T08:00:00
329170.30819750426,2016-06-09T09:00:00
361313.65340114234,2016-06-09T10:00:00
382980.62641582487,2016-06-09T11:00:00
383881.169191575,2016-06-09T12:00:00
374627.08948734996,2016-06-09T13:00:00
371103.26077852247,2016-06-09T14:00:00
365123.7713399291,2016-06-09T15:00:00
356845.0916631281,2016-06-09T16:00:00
351429.6426492691,2016-06-09T17:00:00
343912.40457526443,2016-06-09T18:00:00
336124.1374583602,2016-06-09T19:00:00
325585.8898915708,2016-06-09T20:00:00
323845.40521595476,2016-06-09T21:00:00
314434.68583849666,2016-06-09T22:00:00
302413.0477083832,2016-06-09T23:00:00
283062.32408410904,2016-06-10T00:00:00
263995.89898542163,2016-06-10T01:00:00
235601.88051530198,2016-06-10T02:00:00
223286.4252756279,2016-06-10T03:00:00
213013.75839688853,2016-06-10T04:00:00
217068.70054700822,2016-06-10T05:00:00
227669.6750393942,2016-06-10T06:00:00
233245.4970021084,2016-06-10T07:00:00
278716.3626663744,2016-06-10T08:00:00
317255.6436403155,2016-06-10T09:00:00
350920.51859614847,2016-06-10T10:00:00
374804.73024580476,2016-06-10T11:00:00
377997.39146575925,2016-06-10T12:00:00
370052.2139849424,2016-06-10T13:00:00
362683.91217858193,2016-06-10T14:00:00
357275.027413702,2016-06-10T15:00:00
349443.16781861184,2016-06-10T16:00:00
344424.8897043228,2016-06-10T17:00:00
337576.8441052794,2016-06-10T18:00:00
330476.71781090496,2016-06-10T19:00:00
318992.4852705359,2016-06-10T20:00:00
317286.5474928975,2016-06-10T21:00:00
308528.46334383485,2016-06-10T22:00:00
298053.9408745229,2016-06-10T23:00:00
281366.44133733807,2016-06-11T00:00:00
264584.3523258179,2016-06-11T01:00:00
