consumption,Datetime
599583.4001996755,2016-05-31T02:00:00
575489.3478907584,2016-05-31T03:00:00
566300.3652283787,2016-05-31T04:00:00
550625.4422873496,2016-05-31T05:00:00
538686.9845645069,2016-05-31T06:00:00
538210.8163023232,2016-05-31T07:00:00
573437.1921981811,2016-05-31T08:00:00
602500.7656604289,2016-05-31T09:00:00
634205.7731195926,2016-05-31T10:00:00
661182.3152061938,2016-05-31T11:00:00
670421.6372324466,2016-05-31T12:00:00
664905.9639925002,2016-05-31T13:00:00
647956.1877273559,2016-05-31T14:00:00
647394.80441823,2016-05-31T15:00:00
646299.2805241584,2016-05-31T16:00:00
650094.0823654174,2016-05-31T17:00:00
649527.2449602126,2016-05-31T18:00:00
651638.9099759101,2016-05-31T19:00:00
663199.5119470595,2016-05-31T20:00:00
675328.2419873714,2016-05-31T21:00:00
684608.3101359843,2016-05-31T22:00:00
680580.3699740409,2016-05-31T23:00:00
657297.8746713637,2016-06-01T00:00:00
629946.2212287425,2016-06-01T01:00:00
565618.8703720807,2016-06-01T02:00:00
550896.731524372,2016-06-01T03:00:00
551039.1486591338,2016-06-01T04:00:00
546827.6531835436,2016-06-01T05:00:00
545260.3812043904,2016-06-01T06:00:00
549772.69852885,2016-06-01T07:00:00
585600.2705534934,2016-06-01T08:00:00
614944.0568756103,2016-06-01T09:00:00
644642.595370674,2016-06-01T10:00:00
668975.5801099776,2016-06-01T11:00:00
674686.0603388785,2016-06-01T12:00:00
666164.9442316531,2016-06-01T13:00:00
651320.0188316344,2016-06-01T14:00:00
650133.4684332847,2016-06-01T15:00:00
648329.0785862445,2016-06-01T16:00:00
651437.4831298827,2016-06-01T17:00:00
650235.1116894721,2016-06-01T18:00:00
652148.625092411,2016-06-01T19:00:00
665862.4153756141,2016-06-01T20:00:00
677567.8492721557,2016-06-01T21:00:00
686495.8020881652,2016-06-01T22:00:00
682145.8482078551,2016-06-01T23:00:00
658533.4703001021,2016-06-02T00:00:00
631056.1783541678,2016-06-02T01:00:00
567575.6765300273,2016-06-02T02:00:00
553224.3329470395,2016-06-02T03:00:00
553594.2434824347,2016-06-02T04:00:00
549583.3005321263,2016-06-02T05:00:00
547875.9533487796,2016-06-02T06:00:00
552040.1799916863,2016-06-02T07:00:00
587781.1040548324,2016-06-02T08:00:00
616485.8174244403,2016-06-02T09:00:00
645814.8096844195,2016-06-02T10:00:00
670269.3111292361,2016-06-02T11:00:00
676398.8685573577,2016-06-02T12:00:00
668644.170913124,2016-06-02T13:00:00
650647.4302505492,2016-06-02T14:00:00
649526.731470251,2016-06-02T15:00:00
647623.362963581,2016-06-02T16:00:00
650446.9332376956,2016-06-02T17:00:00
648916.8441769122,2016-06-02T18:00:00
650586.8384350776,2016-06-02T19:00:00
662184.7725142478,2016-06-02T20:00:00
673917.1993290423,2016-06-02T21:00:00
683111.5979227065,2016-06-02T22:00:00
679549.2960092067,2016-06-02T23:00:00
657177.2461647033,2016-06-03T00:00:00
630822.2073470592,2016-06-03T01:00:00
566092.2595433234,2016-06-03T02:00:00
551062.0059014796,2016-06-03T03:00:00
550747.3996227621,2016-06-03T04:00:00
545733.5691430806,2016-06-03T05:00:00
543362.6402701377,2016-06-03T06:00:00
547276.1623783349,2016-06-03T07:00:00
573511.0861792802,2016-06-03T08:00:00
600380.0313017606,2016-06-03T09:00:00
631693.3083716868,2016-06-03T10:00:00
659890.8879527091,2016-06-03T11:00:00
671733.7012311458,2016-06-03T12:00:00
669679.3527976512,2016-06-03T13:00:00
644111.4802130698,2016-06-03T14:00:00
643915.6740004062,2016-06-03T15:00:00
642813.0861498355,2016-06-03T16:00:00
646017.7353660106,2016-06-03T17:00:00
