consumption,Datetime
90976.47445210218,2016-05-31T02:00:00
90957.74457449913,2016-05-31T03:00:00
88253.21639800072,2016-05-31T04:00:00
87020.68802686929,2016-05-31T05:00:00
84875.5142283976,2016-05-31T06:00:00
93158.72924721836,2016-05-31T07:00:00
97186.5784897685,2016-05-31T08:00:00
107699.32110643387,2016-05-31T09:00:00
113914.82378726004,2016-05-31T10:00:00
113611.73158392905,2016-05-31T11:00:00
111955.39372086525,2016-05-31T12:00:00
112479.60090476274,2016-05-31T13:00:00
113545.04340394735,2016-05-31T14:00:00
114284.92958285808,2016-05-31T15:00:00
113774.96052010059,2016-05-31T16:00:00
111452.70642482041,2016-05-31T17:00:00
111720.6167589426,2016-05-31T18:00:00
112506.03931928873,2016-05-31T19:00:00
113290.75237416028,2016-05-31T20:00:00
112888.33473901747,2016-05-31T21:00:00
116479.10460340977,2016-05-31T22:00:00
114345.9150459051,2016-05-31T23:00:00
110800.92162119149,2016-06-01T00:00:00
107328.65517493486,2016-06-01T01:00:00
105267.69914283155,2016-06-01T02:00:00
101259.57201862335,2016-06-01T03:00:00
99047.47264924049,2016-06-01T04:00:00
96472.25584645271,2016-06-01T05:00:00
95882.87551681994,2016-06-01T06:00:00
96586.54757607578,2016-06-01T07:00:00
107668.99908299446,2016-06-01T08:00:00
110850.93375520705,2016-06-01T09:00:00
116478.2083859682,2016-06-01T10:00:00
118563.45031034946,2016-06-01T11:00:00
116298.52745819092,2016-06-01T12:00:00
115298.19408921002,2016-06-01T13:00:00
115693.75672785043,2016-06-01T14:00:00
116397.06869974136,2016-06-01T15:00:00
116777.35829948186,2016-06-01T16:00:00
116041.57444921731,2016-06-01T17:00:00
112595.7730906248,2016-06-01T18:00:00
112955.65773968695,2016-06-01T19:00:00
113963.7423226118,2016-06-01T20:00:00
114848.59167269467,2016-06-01T21:00:00
114347.63279600143,2016-06-01T22:00:00
116166.54877066612,2016-06-01T23:00:00
113432.06666003464,2016-06-02T00:00:00
108719.27523583174,2016-06-02T01:00:00
104119.9486739695,2016-06-02T02:00:00
101484.29854209423,2016-06-02T03:00:00
100392.06554296016,2016-06-02T04:00:00
96548.31429986357,2016-06-02T05:00:00
95780.61870712637,2016-06-02T06:00:00
99039.35601330399,2016-06-02T07:00:00
104077.18896621466,2016-06-02T08:00:00
115310.6931217432,2016-06-02T09:00:00
115287.97294267415,2016-06-02T10:00:00
115329.04957541227,2016-06-02T11:00:00
115148.43508780003,2016-06-02T12:00:00
114238.66769206524,2016-06-02T13:00:00
115822.57198119164,2016-06-02T14:00:00
115664.16021376848,2016-06-02T15:00:00
115403.3502690196,2016-06-02T16:00:00
115280.40310606956,2016-06-02T17:00:00
114624.05186119079,2016-06-02T18:00:00
